original_icd_code,original_icd_version,canonical_icd_code,canonical_icd_version,long_title
V4571,9,Z901,10,Acquired absence of breast and nipple
Z901,10,Z901,10,Acquired absence of breast and nipple
V8803,9,Z90712,10,Acquired absence of cervix with remaining uterus
Z90712,10,Z90712,10,Acquired absence of cervix with remaining uterus
V4573,9,Z905,10,Acquired absence of kidney
Z905,10,Z905,10,Acquired absence of kidney
Z896,10,Z896,10,Acquired absence of leg above knee
Z8961,10,Z896,10,Acquired absence of leg above knee
Z895,10,Z895,10,Acquired absence of leg below knee
Z8951,10,Z895,10,Acquired absence of leg below knee
Z908,10,Z908,10,Acquired absence of other organs
Z9089,10,Z908,10,Acquired absence of other organs
Z904,10,Z904,10,Acquired absence of other specified parts of digestive tract
Z9049,10,Z904,10,Acquired absence of other specified parts of digestive tract
V8802,9,Z90711,10,Acquired absence of uterus with remaining cervical stump
Z90711,10,Z90711,10,Acquired absence of uterus with remaining cervical stump
6203,9,N833,10,Acquired atrophy of ovary and fallopian tube
N833,10,N833,10,Acquired atrophy of ovary and fallopian tube
N8333,10,N833,10,Acquired atrophy of ovary and fallopian tube
2867,9,D684,10,Acquired coagulation factor deficiency
D684,10,D684,10,Acquired coagulation factor deficiency
7383,9,M954,10,Acquired deformity of chest and rib
M954,10,M954,10,Acquired deformity of chest and rib
7382,9,M953,10,Acquired deformity of neck
M953,10,M953,10,Acquired deformity of neck
7380,9,M950,10,Acquired deformity of nose
M950,10,M950,10,Acquired deformity of nose
7386,9,M955,10,Acquired deformity of pelvis
M955,10,M955,10,Acquired deformity of pelvis
2839,9,D599,10,"Acquired hemolytic anemia, unspecified"
D599,10,D599,10,"Acquired hemolytic anemia, unspecified"
28652,9,D68311,10,Acquired hemophilia
D68311,10,D68311,10,Acquired hemophilia
36862,9,H5362,10,Acquired night blindness
H5362,10,H5362,10,Acquired night blindness
V8812,9,Z90411,10,Acquired partial absence of pancreas
Z90411,10,Z90411,10,Acquired partial absence of pancreas
38051,9,H6131,10,Acquired stenosis of external ear canal secondary to trauma
H6131,10,H6131,10,Acquired stenosis of external ear canal secondary to trauma
V8811,9,Z90410,10,Acquired total absence of pancreas
Z90410,10,Z90410,10,Acquired total absence of pancreas
7020,9,L570,10,Actinic keratosis
L570,10,L570,10,Actinic keratosis
38151,9,H6801,10,Acute Eustachian salpingitis
H6801,10,H6801,10,Acute Eustachian salpingitis
51884,9,J962,10,Acute and chronic respiratory failure
J962,10,J962,10,Acute and chronic respiratory failure
36522,9,H4021,10,Acute angle-closure glaucoma
H4021,10,H4021,10,Acute angle-closure glaucoma
5224,9,K044,10,Acute apical periodontitis of pulpal origin
K044,10,K044,10,Acute apical periodontitis of pulpal origin
5400,9,K352,10,Acute appendicitis with generalized peritonitis
K352,10,K352,10,Acute appendicitis with generalized peritonitis
37205,9,H101,10,Acute atopic conjunctivitis
H101,10,H101,10,Acute atopic conjunctivitis
4660,9,J20,10,Acute bronchitis
J20,10,J20,10,Acute bronchitis
51911,9,J9801,10,Acute bronchospasm
J9801,10,J9801,10,Acute bronchospasm
5750,9,K810,10,Acute cholecystitis
K810,10,K810,10,Acute cholecystitis
5950,9,N300,10,Acute cystitis
N300,10,N300,10,Acute cystitis
37501,9,H0401,10,Acute dacryoadenitis
H0401,10,H0401,10,Acute dacryoadenitis
37532,9,H0432,10,Acute dacryocystitis
H0432,10,H0432,10,Acute dacryocystitis
5361,9,K310,10,Acute dilatation of stomach
K310,10,K310,10,Acute dilatation of stomach
46431,9,J0511,10,Acute epiglottitis with obstruction
J0511,10,J0511,10,Acute epiglottitis with obstruction
4612,9,J012,10,Acute ethmoidal sinusitis
J012,10,J012,10,Acute ethmoidal sinusitis
37202,9,H1001,10,Acute follicular conjunctivitis
H1001,10,H1001,10,Acute follicular conjunctivitis
4611,9,J011,10,Acute frontal sinusitis
J011,10,J011,10,Acute frontal sinusitis
52301,9,K0501,10,"Acute gingivitis, non-plaque induced"
K0501,10,K0501,10,"Acute gingivitis, non-plaque induced"
52300,9,K0500,10,"Acute gingivitis, plaque induced"
K0500,10,K0500,10,"Acute gingivitis, plaque induced"
27951,9,D89810,10,Acute graft-versus-host disease
D89810,10,D89810,10,Acute graft-versus-host disease
07041,9,B1711,10,Acute hepatitis C with hepatic coma
B1711,10,B1711,10,Acute hepatitis C with hepatic coma
99934,9,T8022,10,"Acute infection following transfusion, infusion, or injection of blood and blood products"
T8022,10,T8022,10,"Acute infection following transfusion, infusion, or injection of blood and blood products"
51633,9,J84114,10,Acute interstitial pneumonitis
J84114,10,J84114,10,Acute interstitial pneumonitis
5849,9,N179,10,"Acute kidney failure, unspecified"
N179,10,N179,10,"Acute kidney failure, unspecified"
4650,9,J060,10,Acute laryngopharyngitis
J060,10,J060,10,Acute laryngopharyngitis
20802,9,C9502,10,"Acute leukemia of unspecified cell type, in relapse"
C9502,10,C9502,10,"Acute leukemia of unspecified cell type, in relapse"
20801,9,C9501,10,"Acute leukemia of unspecified cell type, in remission"
C9501,10,C9501,10,"Acute leukemia of unspecified cell type, in remission"
683,9,L04,10,Acute lymphadenitis
L04,10,L04,10,Acute lymphadenitis
L0389,10,L0389,10,Acute lymphangitis of other sites
L03898,10,L0389,10,Acute lymphangitis of other sites
38302,9,H7009,10,Acute mastoiditis with other complications
H7009,10,H7009,10,Acute mastoiditis with other complications
38300,9,H7000,10,Acute mastoiditis without complications
H7000,10,H7000,10,Acute mastoiditis without complications
4610,9,J010,10,Acute maxillary sinusitis
J010,10,J010,10,Acute maxillary sinusitis
01800,9,A192,10,"Acute miliary tuberculosis, unspecified"
A192,10,A192,10,"Acute miliary tuberculosis, unspecified"
42290,9,I409,10,"Acute myocarditis, unspecified"
I409,10,I409,10,"Acute myocarditis, unspecified"
460,9,J00,10,Acute nasopharyngitis [common cold]
J00,10,J00,10,Acute nasopharyngitis [common cold]
27953,9,D89812,10,Acute on chronic graft-versus-host disease
D89812,10,D89812,10,Acute on chronic graft-versus-host disease
33811,9,G8911,10,Acute pain due to trauma
G8911,10,G8911,10,Acute pain due to trauma
5770,9,K85,10,Acute pancreatitis
K85,10,K85,10,Acute pancreatitis
6143,9,N730,10,Acute parametritis and pelvic cellulitis
N730,10,N730,10,Acute parametritis and pelvic cellulitis
42090,9,I309,10,"Acute pericarditis, unspecified"
I309,10,I309,10,"Acute pericarditis, unspecified"
38321,9,H7021,10,Acute petrositis
H7021,10,H7021,10,Acute petrositis
462,9,J02,10,Acute pharyngitis
J02,10,J02,10,Acute pharyngitis
33812,9,G8912,10,Acute post-thoracotomy pain
G8912,10,G8912,10,Acute post-thoracotomy pain
33921,9,G4431,10,Acute post-traumatic headache
G4431,10,G4431,10,Acute post-traumatic headache
2851,9,D62,10,Acute posthemorrhagic anemia
D62,10,D62,10,Acute posthemorrhagic anemia
6010,9,N410,10,Acute prostatitis
N410,10,N410,10,Acute prostatitis
5080,9,J700,10,Acute pulmonary manifestations due to radiation
J700,10,J700,10,Acute pulmonary manifestations due to radiation
9987,9,T816,10,Acute reaction to foreign substance accidentally left during a procedure
T816,10,T816,10,Acute reaction to foreign substance accidentally left during a procedure
51881,9,J960,10,Acute respiratory failure
J960,10,J960,10,Acute respiratory failure
3911,9,I011,10,Acute rheumatic endocarditis
I011,10,I011,10,Acute rheumatic endocarditis
3919,9,I019,10,"Acute rheumatic heart disease, unspecified"
I019,10,I019,10,"Acute rheumatic heart disease, unspecified"
3912,9,I012,10,Acute rheumatic myocarditis
I012,10,I012,10,Acute rheumatic myocarditis
3910,9,I010,10,Acute rheumatic pericarditis
I010,10,I010,10,Acute rheumatic pericarditis
6140,9,N700,10,Acute salpingitis and oophoritis
N700,10,N700,10,Acute salpingitis and oophoritis
N7003,10,N700,10,Acute salpingitis and oophoritis
38101,9,H650,10,Acute serous otitis media
H650,10,H650,10,Acute serous otitis media
4619,9,J019,10,"Acute sinusitis, unspecified"
J019,10,J019,10,"Acute sinusitis, unspecified"
J0190,10,J019,10,"Acute sinusitis, unspecified"
4613,9,J013,10,Acute sphenoidal sinusitis
J013,10,J013,10,Acute sphenoidal sinusitis
2450,9,E060,10,Acute thyroiditis
E060,10,E060,10,Acute thyroiditis
463,9,J03,10,Acute tonsillitis
J03,10,J03,10,Acute tonsillitis
J038,10,J038,10,Acute tonsillitis due to other specified organisms
J0380,10,J038,10,Acute tonsillitis due to other specified organisms
J039,10,J039,10,"Acute tonsillitis, unspecified"
J0390,10,J039,10,"Acute tonsillitis, unspecified"
46411,9,J0411,10,Acute tracheitis with obstruction
J0411,10,J0411,10,Acute tracheitis with obstruction
7260,9,M750,10,Adhesive capsulitis of shoulder
M750,10,M750,10,Adhesive capsulitis of shoulder
30924,9,F4322,10,Adjustment disorder with anxiety
F4322,10,F4322,10,Adjustment disorder with anxiety
3090,9,F4321,10,Adjustment disorder with depressed mood
F4321,10,F4321,10,Adjustment disorder with depressed mood
3093,9,F4324,10,Adjustment disorder with disturbance of conduct
F4324,10,F4324,10,Adjustment disorder with disturbance of conduct
30928,9,F4323,10,Adjustment disorder with mixed anxiety and depressed mood
F4323,10,F4323,10,Adjustment disorder with mixed anxiety and depressed mood
3094,9,F4325,10,Adjustment disorder with mixed disturbance of emotions and conduct
F4325,10,F4325,10,Adjustment disorder with mixed disturbance of emotions and conduct
2552,9,E25,10,Adrenogenital disorders
E25,10,E25,10,Adrenogenital disorders
7837,9,R627,10,Adult failure to thrive
R627,10,R627,10,Adult failure to thrive
3070,9,F985,10,Adult onset fluency disorder
F985,10,F985,10,Adult onset fluency disorder
5165,9,J8482,10,Adult pulmonary Langerhans cell histiocytosis
J8482,10,J8482,10,Adult pulmonary Langerhans cell histiocytosis
T40495,10,T40495,10,Adverse effect of other synthetic narcotics
T404X5,10,T40495,10,Adverse effect of other synthetic narcotics
T40495A,10,T40495A,10,"Adverse effect of other synthetic narcotics, initial encounter"
T404X5A,10,T40495A,10,"Adverse effect of other synthetic narcotics, initial encounter"
T40495S,10,T40495S,10,"Adverse effect of other synthetic narcotics, sequela"
T404X5S,10,T40495S,10,"Adverse effect of other synthetic narcotics, sequela"
T40495D,10,T40495D,10,"Adverse effect of other synthetic narcotics, subsequent encounter"
T404X5D,10,T40495D,10,"Adverse effect of other synthetic narcotics, subsequent encounter"
0865,9,B569,10,"African trypanosomiasis, unspecified"
B569,10,B569,10,"African trypanosomiasis, unspecified"
V5482,9,Z473,10,Aftercare following explantation of joint prosthesis
Z473,10,Z473,10,Aftercare following explantation of joint prosthesis
V2622,9,Z3142,10,Aftercare following sterilization reversal
Z3142,10,Z3142,10,Aftercare following sterilization reversal
V5842,9,Z483,10,Aftercare following surgery for neoplasm
Z483,10,Z483,10,Aftercare following surgery for neoplasm
52332,9,K0522,10,"Aggressive periodontitis, generalized"
K0522,10,K0522,10,"Aggressive periodontitis, generalized"
52331,9,K0521,10,"Aggressive periodontitis, localized"
K0521,10,K0521,10,"Aggressive periodontitis, localized"
52330,9,K0520,10,"Aggressive periodontitis, unspecified"
K0520,10,K0520,10,"Aggressive periodontitis, unspecified"
30021,9,F4001,10,Agoraphobia with panic disorder
F4001,10,F4001,10,Agoraphobia with panic disorder
1360,9,L946,10,Ainhum
L946,10,L946,10,Ainhum
30503,9,F1011,10,"Alcohol abuse, in remission"
F1011,10,F1011,10,"Alcohol abuse, in remission"
4255,9,I426,10,Alcoholic cardiomyopathy
I426,10,I426,10,Alcoholic cardiomyopathy
5712,9,K703,10,Alcoholic cirrhosis of liver
K703,10,K703,10,Alcoholic cirrhosis of liver
5710,9,K700,10,Alcoholic fatty liver
K700,10,K700,10,Alcoholic fatty liver
3575,9,G621,10,Alcoholic polyneuropathy
G621,10,G621,10,Alcoholic polyneuropathy
7337,9,M890,10,Algoneurodystrophy
M890,10,M890,10,Algoneurodystrophy
2763,9,E873,10,Alkalosis
E873,10,E873,10,Alkalosis
5186,9,B4481,10,Allergic bronchopulmonary aspergillosis
B4481,10,B4481,10,Allergic bronchopulmonary aspergillosis
L238,10,L238,10,Allergic contact dermatitis due to other agents
L2389,10,L238,10,Allergic contact dermatitis due to other agents
2870,9,D690,10,Allergic purpura
D690,10,D690,10,Allergic purpura
4772,9,J3081,10,Allergic rhinitis due to animal (cat) (dog) hair and dander
J3081,10,J3081,10,Allergic rhinitis due to animal (cat) (dog) hair and dander
4771,9,J305,10,Allergic rhinitis due to food
J305,10,J305,10,Allergic rhinitis due to food
4770,9,J301,10,Allergic rhinitis due to pollen
J301,10,J301,10,Allergic rhinitis due to pollen
7080,9,L500,10,Allergic urticaria
L500,10,L500,10,Allergic urticaria
V1503,9,Z91012,10,Allergy to eggs
Z91012,10,Z91012,10,Allergy to eggs
52566,9,K0855,10,Allergy to existing dental restorative material
K0855,10,K0855,10,Allergy to existing dental restorative material
V1502,9,Z91011,10,Allergy to milk products
Z91011,10,Z91011,10,Allergy to milk products
V1505,9,Z91018,10,Allergy to other foods
Z91018,10,Z91018,10,Allergy to other foods
V1501,9,Z91010,10,Allergy to peanuts
Z91010,10,Z91010,10,Allergy to peanuts
V1504,9,Z91013,10,Allergy to seafood
Z91013,10,Z91013,10,Allergy to seafood
70401,9,L63,10,Alopecia areata
L63,10,L63,10,Alopecia areata
28243,9,D560,10,Alpha thalassemia
D560,10,D560,10,Alpha thalassemia
2734,9,E8801,10,Alpha-1-antitrypsin deficiency
E8801,10,E8801,10,Alpha-1-antitrypsin deficiency
37805,9,H5005,10,Alternating esotropia
H5005,10,H5005,10,Alternating esotropia
37806,9,H5006,10,Alternating esotropia with A pattern
H5006,10,H5006,10,Alternating esotropia with A pattern
37807,9,H5007,10,Alternating esotropia with V pattern
H5007,10,H5007,10,Alternating esotropia with V pattern
37808,9,H5008,10,Alternating esotropia with other noncomitancies
H5008,10,H5008,10,Alternating esotropia with other noncomitancies
37815,9,H5015,10,Alternating exotropia
H5015,10,H5015,10,Alternating exotropia
37816,9,H5016,10,Alternating exotropia with A pattern
H5016,10,H5016,10,Alternating exotropia with A pattern
37817,9,H5017,10,Alternating exotropia with V pattern
H5017,10,H5017,10,Alternating exotropia with V pattern
37818,9,H5018,10,Alternating exotropia with other noncomitancies
H5018,10,H5018,10,Alternating exotropia with other noncomitancies
51664,9,J84843,10,Alveolar capillary dysplasia with vein misalignment
J84843,10,J84843,10,Alveolar capillary dysplasia with vein misalignment
52472,9,M2672,10,Alveolar mandibular hyperplasia
M2672,10,M2672,10,Alveolar mandibular hyperplasia
52474,9,M2674,10,Alveolar mandibular hypoplasia
M2674,10,M2674,10,Alveolar mandibular hypoplasia
52471,9,M2671,10,Alveolar maxillary hyperplasia
M2671,10,M2671,10,Alveolar maxillary hyperplasia
52473,9,M2673,10,Alveolar maxillary hypoplasia
M2673,10,M2673,10,Alveolar maxillary hypoplasia
3310,9,G30,10,Alzheimer's disease
G30,10,G30,10,Alzheimer's disease
0069,9,A069,10,"Amebiasis, unspecified"
A069,10,A069,10,"Amebiasis, unspecified"
0065,9,A066,10,Amebic brain abscess
A066,10,A066,10,Amebic brain abscess
0068,9,A068,10,Amebic infection of other sites
A068,10,A068,10,Amebic infection of other sites
0063,9,A064,10,Amebic liver abscess
A064,10,A064,10,Amebic liver abscess
0064,9,A065,10,Amebic lung abscess
A065,10,A065,10,Amebic lung abscess
0062,9,A062,10,Amebic nondysenteric colitis
A062,10,A062,10,Amebic nondysenteric colitis
27730,9,E859,10,"Amyloidosis, unspecified"
E859,10,E859,10,"Amyloidosis, unspecified"
33520,9,G1221,10,Amyotrophic lateral sclerosis
G1221,10,G1221,10,Amyotrophic lateral sclerosis
5651,9,K603,10,Anal fistula
K603,10,K603,10,Anal fistula
79675,9,R8581,10,Anal high risk human papillomavirus (HPV) DNA test positive
R8581,10,R8581,10,Anal high risk human papillomavirus (HPV) DNA test positive
5646,9,K594,10,Anal spasm
K594,10,K594,10,Anal spasm
99941,9,T8051,10,Anaphylactic reaction due to administration of blood and blood products
T8051,10,T8051,10,Anaphylactic reaction due to administration of blood and blood products
99568,9,T7808,10,Anaphylactic reaction due to eggs
T7808,10,T7808,10,Anaphylactic reaction due to eggs
99566,9,T7806,10,Anaphylactic reaction due to food additives
T7806,10,T7806,10,Anaphylactic reaction due to food additives
99563,9,T7804,10,Anaphylactic reaction due to fruits and vegetables
T7804,10,T7804,10,Anaphylactic reaction due to fruits and vegetables
99949,9,T8059,10,Anaphylactic reaction due to other serum
T8059,10,T8059,10,Anaphylactic reaction due to other serum
99561,9,T7801,10,Anaphylactic reaction due to peanuts
T7801,10,T7801,10,Anaphylactic reaction due to peanuts
99564,9,T7805,10,Anaphylactic reaction due to tree nuts and seeds
T7805,10,T7805,10,Anaphylactic reaction due to tree nuts and seeds
99560,9,T7800,10,Anaphylactic reaction due to unspecified food
T7800,10,T7800,10,Anaphylactic reaction due to unspecified food
99942,9,T8052,10,Anaphylactic reaction due to vaccination
T8052,10,T8052,10,Anaphylactic reaction due to vaccination
25951,9,E345,10,Androgen insensitivity syndrome
E345,10,E345,10,Androgen insensitivity syndrome
28521,9,D631,10,Anemia in chronic kidney disease
D631,10,D631,10,Anemia in chronic kidney disease
28522,9,D630,10,Anemia in neoplastic disease
D630,10,D630,10,Anemia in neoplastic disease
7766,9,P612,10,Anemia of prematurity
P612,10,P612,10,Anemia of prematurity
2859,9,D649,10,"Anemia, unspecified"
D649,10,D649,10,"Anemia, unspecified"
4423,9,I724,10,Aneurysm of artery of lower extremity
I724,10,I724,10,Aneurysm of artery of lower extremity
4420,9,I721,10,Aneurysm of artery of upper extremity
I721,10,I721,10,Aneurysm of artery of upper extremity
4422,9,I723,10,Aneurysm of iliac artery
I723,10,I723,10,Aneurysm of iliac artery
4171,9,I281,10,Aneurysm of pulmonary artery
I281,10,I281,10,Aneurysm of pulmonary artery
4421,9,I722,10,Aneurysm of renal artery
I722,10,I722,10,Aneurysm of renal artery
4429,9,I729,10,Aneurysm of unspecified site
I729,10,I729,10,Aneurysm of unspecified site
73322,9,M855,10,Aneurysmal bone cyst
M855,10,M855,10,Aneurysmal bone cyst
37221,9,H1052,10,Angular blepharoconjunctivitis
H1052,10,H1052,10,Angular blepharoconjunctivitis
7050,9,L744,10,Anhidrosis
L744,10,L744,10,Anhidrosis
V807,10,V807,10,Animal-rider or occupant of animal-drawn vehicle injured in collision with other nonmotor vehicles
V8079,10,V807,10,Animal-rider or occupant of animal-drawn vehicle injured in collision with other nonmotor vehicles
1271,9,B810,10,Anisakiasis
B810,10,B810,10,Anisakiasis
36732,9,H5232,10,Aniseikonia
H5232,10,H5232,10,Aniseikonia
37941,9,H5702,10,Anisocoria
H5702,10,H5702,10,Anisocoria
36731,9,H5231,10,Anisometropia
H5231,10,H5231,10,Anisometropia
7200,9,M45,10,Ankylosing spondylitis
M45,10,M45,10,Ankylosing spondylitis
5216,9,K035,10,Ankylosis of teeth
K035,10,K035,10,Ankylosis of teeth
5200,9,K000,10,Anodontia
K000,10,K000,10,Anodontia
52428,9,M2625,10,Anomalies of interarch distance
M2625,10,M2625,10,Anomalies of interarch distance
7830,9,R630,10,Anorexia
R630,10,R630,10,Anorexia
3071,9,F500,10,Anorexia nervosa
F500,10,F500,10,Anorexia nervosa
37111,9,H1801,10,Anterior corneal pigmentations
H1801,10,H1801,10,Anterior corneal pigmentations
37933,9,H2712,10,Anterior dislocation of lens
H2712,10,H2712,10,Anterior dislocation of lens
37903,9,H1501,10,Anterior scleritis
H1501,10,H1501,10,Anterior scleritis
52481,9,M2681,10,Anterior soft tissue impingement
M2681,10,M2681,10,Anterior soft tissue impingement
0229,9,A229,10,"Anthrax, unspecified"
A229,10,A229,10,"Anthrax, unspecified"
28411,9,D61810,10,Antineoplastic chemotherapy induced pancytopenia
D61810,10,D61810,10,Antineoplastic chemotherapy induced pancytopenia
28653,9,D68312,10,Antiphospholipid antibody with hemorrhagic disorder
D68312,10,D68312,10,Antiphospholipid antibody with hemorrhagic disorder
3017,9,F602,10,Antisocial personality disorder
F602,10,F602,10,Antisocial personality disorder
4415,9,I718,10,"Aortic aneurysm of unspecified site, ruptured"
I718,10,I718,10,"Aortic aneurysm of unspecified site, ruptured"
44770,9,I77819,10,"Aortic ectasia, unspecified site"
I77819,10,I77819,10,"Aortic ectasia, unspecified site"
37931,9,H270,10,Aphakia
H270,10,H270,10,Aphakia
7843,9,R4701,10,Aphasia
R4701,10,R4701,10,Aphasia
78441,9,R491,10,Aphonia
R491,10,R491,10,Aphonia
2849,9,D619,10,"Aplastic anemia, unspecified"
D619,10,D619,10,"Aplastic anemia, unspecified"
36583,9,H4083,10,Aqueous misdirection
H4083,10,H4083,10,Aqueous misdirection
75236,9,Q51810,10,Arcuate uterus
Q51810,10,Q51810,10,Arcuate uterus
0787,9,A96,10,Arenaviral hemorrhagic fever
A96,10,A96,10,Arenaviral hemorrhagic fever
37116,9,H1802,10,Argentous corneal deposits
H1802,10,H1802,10,Argentous corneal deposits
37945,9,H5701,10,"Argyll Robertson pupil, atypical"
H5701,10,H5701,10,"Argyll Robertson pupil, atypical"
52104,9,K023,10,Arrested dental caries
K023,10,K023,10,Arrested dental caries
4170,9,I280,10,Arteriovenous fistula of pulmonary vessels
I280,10,I280,10,Arteriovenous fistula of pulmonary vessels
4470,9,I770,10,"Arteriovenous fistula, acquired"
I770,10,I770,10,"Arteriovenous fistula, acquired"
4476,9,I776,10,"Arteritis, unspecified"
I776,10,I776,10,"Arteritis, unspecified"
V454,9,Z981,10,Arthrodesis status
Z981,10,Z981,10,Arthrodesis status
V6443,9,Z5333,10,Arthroscopic surgical procedure converted to open procedure
Z5333,10,Z5333,10,Arthroscopic surgical procedure converted to open procedure
99521,9,T7841,10,Arthus phenomenon
T7841,10,T7841,10,Arthus phenomenon
1270,9,B77,10,Ascariasis
B77,10,B77,10,Ascariasis
B778,10,B778,10,Ascariasis with other complications
B7789,10,B778,10,Ascariasis with other complications
267,9,E54,10,Ascorbic acid deficiency
E54,10,E54,10,Ascorbic acid deficiency
1173,9,B44,10,Aspergillosis
B44,10,B44,10,Aspergillosis
79901,9,R0901,10,Asphyxia
R0901,10,R0901,10,Asphyxia
E9655,9,X960,10,Assault by antipersonnel bomb
X960,10,X960,10,Assault by antipersonnel bomb
E9656,9,X961,10,Assault by gasoline bomb
X961,10,X961,10,Assault by gasoline bomb
E9687,9,Y041,10,Assault by human bite
Y041,10,Y041,10,Assault by human bite
E9652,9,X941,10,Assault by hunting rifle
X941,10,X941,10,Assault by hunting rifle
E9657,9,X962,10,Assault by letter bomb
X962,10,X962,10,Assault by letter bomb
E9658,9,X968,10,Assault by other specified explosive
X968,10,X968,10,Assault by other specified explosive
E9688,9,Y08,10,Assault by other specified means
Y08,10,Y08,10,Assault by other specified means
Y088,10,Y08,10,Assault by other specified means
Y0889,10,Y08,10,Assault by other specified means
E9651,9,X940,10,Assault by shotgun
X940,10,X940,10,Assault by shotgun
E9659,9,X969,10,Assault by unspecified explosive
X969,10,X969,10,Assault by unspecified explosive
E9689,9,Y09,10,Assault by unspecified means
Y09,10,Y09,10,Assault by unspecified means
V8301,9,Z1401,10,Asymptomatic hemophilia A carrier
Z1401,10,Z1401,10,Asymptomatic hemophilia A carrier
V08,9,Z21,10,Asymptomatic human immunodeficiency virus [HIV] infection status
Z21,10,Z21,10,Asymptomatic human immunodeficiency virus [HIV] infection status
0943,9,A522,10,Asymptomatic neurosyphilis
A522,10,A522,10,Asymptomatic neurosyphilis
44581,9,I7581,10,Atheroembolism of kidney
I7581,10,I7581,10,Atheroembolism of kidney
44502,9,I7502,10,Atheroembolism of lower extremity
I7502,10,I7502,10,Atheroembolism of lower extremity
44589,9,I7589,10,Atheroembolism of other site
I7589,10,I7589,10,Atheroembolism of other site
44501,9,I7501,10,Atheroembolism of upper extremity
I7501,10,I7501,10,Atheroembolism of upper extremity
4400,9,I700,10,Atherosclerosis of aorta
