icd_code,icd_version,long_title
30021,9,Agoraphobia with panic disorder
F4001,10,Agoraphobia with panic disorder
1360,9,Ainhum
L946,10,Ainhum
30503,9,"Alcohol abuse, in remission"
F1011,10,"Alcohol abuse, in remission"
4255,9,Alcoholic cardiomyopathy
I426,10,Alcoholic cardiomyopathy
5712,9,Alcoholic cirrhosis of liver
K703,10,Alcoholic cirrhosis of liver
5710,9,Alcoholic fatty liver
K700,10,Alcoholic fatty liver
3575,9,Alcoholic polyneuropathy
G621,10,Alcoholic polyneuropathy
7337,9,Algoneurodystrophy
M890,10,Algoneurodystrophy
2763,9,Alkalosis
E873,10,Alkalosis
5186,9,Allergic bronchopulmonary aspergillosis
B4481,10,Allergic bronchopulmonary aspergillosis
L238,10,Allergic contact dermatitis due to other agents
L2389,10,Allergic contact dermatitis due to other agents
2870,9,Allergic purpura
D690,10,Allergic purpura
4772,9,Allergic rhinitis due to animal (cat) (dog) hair and dander
J3081,10,Allergic rhinitis due to animal (cat) (dog) hair and dander
4771,9,Allergic rhinitis due to food
J305,10,Allergic rhinitis due to food
4770,9,Allergic rhinitis due to pollen
J301,10,Allergic rhinitis due to pollen
7080,9,Allergic urticaria
L500,10,Allergic urticaria
V1503,9,Allergy to eggs
Z91012,10,Allergy to eggs
52566,9,Allergy to existing dental restorative material
K0855,10,Allergy to existing dental restorative material
V1502,9,Allergy to milk products
Z91011,10,Allergy to milk products
V1505,9,Allergy to other foods
Z91018,10,Allergy to other foods
V1501,9,Allergy to peanuts
Z91010,10,Allergy to peanuts
V1504,9,Allergy to seafood
Z91013,10,Allergy to seafood
70401,9,Alopecia areata
L63,10,Alopecia areata
28243,9,Alpha thalassemia
D560,10,Alpha thalassemia
2734,9,Alpha-1-antitrypsin deficiency
E8801,10,Alpha-1-antitrypsin deficiency
37805,9,Alternating esotropia
H5005,10,Alternating esotropia
37806,9,Alternating esotropia with A pattern
H5006,10,Alternating esotropia with A pattern
37807,9,Alternating esotropia with V pattern
H5007,10,Alternating esotropia with V pattern
37808,9,Alternating esotropia with other noncomitancies
H5008,10,Alternating esotropia with other noncomitancies
37815,9,Alternating exotropia
H5015,10,Alternating exotropia
37816,9,Alternating exotropia with A pattern
H5016,10,Alternating exotropia with A pattern
37817,9,Alternating exotropia with V pattern
H5017,10,Alternating exotropia with V pattern
37818,9,Alternating exotropia with other noncomitancies
H5018,10,Alternating exotropia with other noncomitancies
51664,9,Alveolar capillary dysplasia with vein misalignment
J84843,10,Alveolar capillary dysplasia with vein misalignment
52472,9,Alveolar mandibular hyperplasia
M2672,10,Alveolar mandibular hyperplasia
52474,9,Alveolar mandibular hypoplasia
M2674,10,Alveolar mandibular hypoplasia
52471,9,Alveolar maxillary hyperplasia
M2671,10,Alveolar maxillary hyperplasia
52473,9,Alveolar maxillary hypoplasia
M2673,10,Alveolar maxillary hypoplasia
3310,9,Alzheimer's disease
G30,10,Alzheimer's disease
0069,9,"Amebiasis, unspecified"
A069,10,"Amebiasis, unspecified"
0065,9,Amebic brain abscess
A066,10,Amebic brain abscess
0068,9,Amebic infection of other sites
A068,10,Amebic infection of other sites
0063,9,Amebic liver abscess
A064,10,Amebic liver abscess
0064,9,Amebic lung abscess
A065,10,Amebic lung abscess
0062,9,Amebic nondysenteric colitis
A062,10,Amebic nondysenteric colitis
27730,9,"Amyloidosis, unspecified"
E859,10,"Amyloidosis, unspecified"
33520,9,Amyotrophic lateral sclerosis
G1221,10,Amyotrophic lateral sclerosis
5651,9,Anal fistula
K603,10,Anal fistula
79675,9,Anal high risk human papillomavirus (HPV) DNA test positive
R8581,10,Anal high risk human papillomavirus (HPV) DNA test positive
5646,9,Anal spasm
K594,10,Anal spasm
99941,9,Anaphylactic reaction due to administration of blood and blood products
T8051,10,Anaphylactic reaction due to administration of blood and blood products
99568,9,Anaphylactic reaction due to eggs
T7808,10,Anaphylactic reaction due to eggs
99566,9,Anaphylactic reaction due to food additives
T7806,10,Anaphylactic reaction due to food additives
99563,9,Anaphylactic reaction due to fruits and vegetables
T7804,10,Anaphylactic reaction due to fruits and vegetables
99949,9,Anaphylactic reaction due to other serum
T8059,10,Anaphylactic reaction due to other serum
99561,9,Anaphylactic reaction due to peanuts
T7801,10,Anaphylactic reaction due to peanuts
99564,9,Anaphylactic reaction due to tree nuts and seeds
T7805,10,Anaphylactic reaction due to tree nuts and seeds
99560,9,Anaphylactic reaction due to unspecified food
T7800,10,Anaphylactic reaction due to unspecified food
99942,9,Anaphylactic reaction due to vaccination
T8052,10,Anaphylactic reaction due to vaccination
25951,9,Androgen insensitivity syndrome
E345,10,Androgen insensitivity syndrome
28521,9,Anemia in chronic kidney disease
D631,10,Anemia in chronic kidney disease
28522,9,Anemia in neoplastic disease
D630,10,Anemia in neoplastic disease
7766,9,Anemia of prematurity
P612,10,Anemia of prematurity
2859,9,"Anemia, unspecified"
D649,10,"Anemia, unspecified"
4423,9,Aneurysm of artery of lower extremity
I724,10,Aneurysm of artery of lower extremity
4420,9,Aneurysm of artery of upper extremity
I721,10,Aneurysm of artery of upper extremity
4422,9,Aneurysm of iliac artery
I723,10,Aneurysm of iliac artery
4171,9,Aneurysm of pulmonary artery
I281,10,Aneurysm of pulmonary artery
4421,9,Aneurysm of renal artery
I722,10,Aneurysm of renal artery
4429,9,Aneurysm of unspecified site
I729,10,Aneurysm of unspecified site
73322,9,Aneurysmal bone cyst
M855,10,Aneurysmal bone cyst
37221,9,Angular blepharoconjunctivitis
H1052,10,Angular blepharoconjunctivitis
7050,9,Anhidrosis
L744,10,Anhidrosis
V807,10,Animal-rider or occupant of animal-drawn vehicle injured in collision with other nonmotor vehicles
V8079,10,Animal-rider or occupant of animal-drawn vehicle injured in collision with other nonmotor vehicles
1271,9,Anisakiasis
B810,10,Anisakiasis
36732,9,Aniseikonia
H5232,10,Aniseikonia
37941,9,Anisocoria
H5702,10,Anisocoria
36731,9,Anisometropia
H5231,10,Anisometropia
7200,9,Ankylosing spondylitis
M45,10,Ankylosing spondylitis
5216,9,Ankylosis of teeth
K035,10,Ankylosis of teeth
5200,9,Anodontia
K000,10,Anodontia
52428,9,Anomalies of interarch distance
M2625,10,Anomalies of interarch distance
7830,9,Anorexia
R630,10,Anorexia
3071,9,Anorexia nervosa
F500,10,Anorexia nervosa
37111,9,Anterior corneal pigmentations
H1801,10,Anterior corneal pigmentations
37933,9,Anterior dislocation of lens
H2712,10,Anterior dislocation of lens
37903,9,Anterior scleritis
H1501,10,Anterior scleritis
52481,9,Anterior soft tissue impingement
M2681,10,Anterior soft tissue impingement
0229,9,"Anthrax, unspecified"
A229,10,"Anthrax, unspecified"
28411,9,Antineoplastic chemotherapy induced pancytopenia
D61810,10,Antineoplastic chemotherapy induced pancytopenia
28653,9,Antiphospholipid antibody with hemorrhagic disorder
D68312,10,Antiphospholipid antibody with hemorrhagic disorder
3017,9,Antisocial personality disorder
F602,10,Antisocial personality disorder
4415,9,"Aortic aneurysm of unspecified site, ruptured"
I718,10,"Aortic aneurysm of unspecified site, ruptured"
44770,9,"Aortic ectasia, unspecified site"
I77819,10,"Aortic ectasia, unspecified site"
37931,9,Aphakia
H270,10,Aphakia
7843,9,Aphasia
R4701,10,Aphasia
78441,9,Aphonia
R491,10,Aphonia
2849,9,"Aplastic anemia, unspecified"
D619,10,"Aplastic anemia, unspecified"
36583,9,Aqueous misdirection
H4083,10,Aqueous misdirection
75236,9,Arcuate uterus
Q51810,10,Arcuate uterus
0787,9,Arenaviral hemorrhagic fever
A96,10,Arenaviral hemorrhagic fever
37116,9,Argentous corneal deposits
H1802,10,Argentous corneal deposits
37945,9,"Argyll Robertson pupil, atypical"
H5701,10,"Argyll Robertson pupil, atypical"
52104,9,Arrested dental caries
K023,10,Arrested dental caries
4170,9,Arteriovenous fistula of pulmonary vessels
I280,10,Arteriovenous fistula of pulmonary vessels
4470,9,"Arteriovenous fistula, acquired"
I770,10,"Arteriovenous fistula, acquired"
4476,9,"Arteritis, unspecified"
I776,10,"Arteritis, unspecified"
V454,9,Arthrodesis status
Z981,10,Arthrodesis status
V6443,9,Arthroscopic surgical procedure converted to open procedure
Z5333,10,Arthroscopic surgical procedure converted to open procedure
99521,9,Arthus phenomenon
T7841,10,Arthus phenomenon
1270,9,Ascariasis
B77,10,Ascariasis
B778,10,Ascariasis with other complications
B7789,10,Ascariasis with other complications
267,9,Ascorbic acid deficiency
E54,10,Ascorbic acid deficiency
1173,9,Aspergillosis
B44,10,Aspergillosis
79901,9,Asphyxia
R0901,10,Asphyxia
E9655,9,Assault by antipersonnel bomb
X960,10,Assault by antipersonnel bomb
E9656,9,Assault by gasoline bomb
X961,10,Assault by gasoline bomb
E9687,9,Assault by human bite
Y041,10,Assault by human bite
E9652,9,Assault by hunting rifle
X941,10,Assault by hunting rifle
E9657,9,Assault by letter bomb
X962,10,Assault by letter bomb
E9658,9,Assault by other specified explosive
X968,10,Assault by other specified explosive
E9688,9,Assault by other specified means
Y08,10,Assault by other specified means
Y088,10,Assault by other specified means
Y0889,10,Assault by other specified means
E9651,9,Assault by shotgun
X940,10,Assault by shotgun
E9659,9,Assault by unspecified explosive
X969,10,Assault by unspecified explosive
E9689,9,Assault by unspecified means
Y09,10,Assault by unspecified means
V8301,9,Asymptomatic hemophilia A carrier
Z1401,10,Asymptomatic hemophilia A carrier
V08,9,Asymptomatic human immunodeficiency virus [HIV] infection status
Z21,10,Asymptomatic human immunodeficiency virus [HIV] infection status
0943,9,Asymptomatic neurosyphilis
A522,10,Asymptomatic neurosyphilis
44581,9,Atheroembolism of kidney
I7581,10,Atheroembolism of kidney
44502,9,Atheroembolism of lower extremity
I7502,10,Atheroembolism of lower extremity
44589,9,Atheroembolism of other site
I7589,10,Atheroembolism of other site
44501,9,Atheroembolism of upper extremity
I7501,10,Atheroembolism of upper extremity
4400,9,Atherosclerosis of aorta
I700,10,Atherosclerosis of aorta
4401,9,Atherosclerosis of renal artery
I701,10,Atherosclerosis of renal artery
33371,9,Athetoid cerebral palsy
G803,10,Athetoid cerebral palsy
4260,9,"Atrioventricular block, complete"
I442,10,"Atrioventricular block, complete"
38481,9,Atrophic flaccid tympanic membrane
H7381,10,Atrophic flaccid tympanic membrane
38482,9,Atrophic nonflaccid tympanic membrane
H7382,10,Atrophic nonflaccid tympanic membrane
6114,9,Atrophy of breast
N642,10,Atrophy of breast
37645,9,Atrophy of orbit
H0531,10,Atrophy of orbit
5270,9,Atrophy of salivary gland
K110,10,Atrophy of salivary gland
6083,9,Atrophy of testis
N500,10,Atrophy of testis
5294,9,Atrophy of tongue papillae
K144,10,Atrophy of tongue papillae
6241,9,Atrophy of vulva
N905,10,Atrophy of vulva
38422,9,Attic perforation of tympanic membrane
H721,10,Attic perforation of tympanic membrane
38844,9,Auditory recruitment
H9321,10,Auditory recruitment
0624,9,Australian encephalitis
A834,10,Australian encephalitis
57142,9,Autoimmune hepatitis
K754,10,Autoimmune hepatitis
3373,9,Autonomic dysreflexia
G904,10,Autonomic dysreflexia
E9092,9,"Avalanche, landslide, or mudslide"
X361,10,"Avalanche, landslide, or mudslide"
30182,9,Avoidant personality disorder
F606,10,Avoidant personality disorder
8713,9,Avulsion of eye
S057,10,Avulsion of eye
V4983,9,Awaiting organ transplant status
Z7682,10,Awaiting organ transplant status
6060,9,Azoospermia
N460,10,Azoospermia
08882,9,Babesiosis
B600,10,Babesiosis
7907,9,Bacteremia
R7881,10,Bacteremia
4951,9,Bagassosis
J671,10,Bagassosis
6071,9,Balanoposthitis
N476,10,Balanoposthitis
0070,9,Balantidiasis
A070,10,Balantidiasis
28866,9,Bandemia
D72825,10,Bandemia
V4586,9,Bariatric surgery status
Z9884,10,Bariatric surgery status
53085,9,Barrett's esophagus
K227,10,Barrett's esophagus
0880,9,Bartonellosis
A44,10,Bartonellosis
25513,9,Bartter's syndrome
E2681,10,Bartter's syndrome
17301,9,Basal cell carcinoma of skin of lip
C4401,10,Basal cell carcinoma of skin of lip
17371,9,"Basal cell carcinoma of skin of lower limb, including hip"
C4471,10,"Basal cell carcinoma of skin of lower limb, including hip"
17331,9,Basal cell carcinoma of skin of other and unspecified parts of face
C4431,10,Basal cell carcinoma of skin of other and unspecified parts of face
17361,9,"Basal cell carcinoma of skin of upper limb, including shoulder"
C4461,10,"Basal cell carcinoma of skin of upper limb, including shoulder"
28865,9,Basophilia
D72824,10,Basophilia
V4984,9,Bed confinement status
Z7401,10,Bed confinement status
V695,9,Behavioral insomnia of childhood
Z7381,10,Behavioral insomnia of childhood
3510,9,Bell's palsy
G510,10,Bell's palsy
20951,9,Benign carcinoid tumor of the appendix
D3A020,10,Benign carcinoid tumor of the appendix
20953,9,Benign carcinoid tumor of the ascending colon
D3A022,10,Benign carcinoid tumor of the ascending colon
20961,9,Benign carcinoid tumor of the bronchus and lung
D3A090,10,Benign carcinoid tumor of the bronchus and lung
20952,9,Benign carcinoid tumor of the cecum
D3A021,10,Benign carcinoid tumor of the cecum
20955,9,Benign carcinoid tumor of the descending colon
D3A024,10,Benign carcinoid tumor of the descending colon
20941,9,Benign carcinoid tumor of the duodenum
D3A010,10,Benign carcinoid tumor of the duodenum
20943,9,Benign carcinoid tumor of the ileum
D3A012,10,Benign carcinoid tumor of the ileum
20942,9,Benign carcinoid tumor of the jejunum
D3A011,10,Benign carcinoid tumor of the jejunum
20964,9,Benign carcinoid tumor of the kidney
D3A093,10,Benign carcinoid tumor of the kidney
20950,9,"Benign carcinoid tumor of the large intestine, unspecified portion"
D3A029,10,"Benign carcinoid tumor of the large intestine, unspecified portion"
20957,9,Benign carcinoid tumor of the rectum
D3A026,10,Benign carcinoid tumor of the rectum
20956,9,Benign carcinoid tumor of the sigmoid colon
D3A025,10,Benign carcinoid tumor of the sigmoid colon
20940,9,"Benign carcinoid tumor of the small intestine, unspecified portion"
D3A019,10,"Benign carcinoid tumor of the small intestine, unspecified portion"
20963,9,Benign carcinoid tumor of the stomach
D3A092,10,Benign carcinoid tumor of the stomach
20962,9,Benign carcinoid tumor of the thymus
D3A091,10,Benign carcinoid tumor of the thymus
20954,9,Benign carcinoid tumor of the transverse colon
D3A023,10,Benign carcinoid tumor of the transverse colon
D3A09,10,Benign carcinoid tumors of other sites
D3A098,10,Benign carcinoid tumors of other sites
62134,9,Benign endometrial hyperplasia
N8501,10,Benign endometrial hyperplasia
3482,9,Benign intracranial hypertension
G932,10,Benign intracranial hypertension
D177,10,Benign lipomatous neoplasm of other sites
D1779,10,Benign lipomatous neoplasm of other sites
2270,9,Benign neoplasm of adrenal gland
D350,10,Benign neoplasm of adrenal gland
2276,9,Benign neoplasm of aortic body and other paraganglia
D356,10,Benign neoplasm of aortic body and other paraganglia
2233,9,Benign neoplasm of bladder
D303,10,Benign neoplasm of bladder
2130,9,Benign neoplasm of bones of skull and face
D164,10,Benign neoplasm of bones of skull and face
217,9,Benign neoplasm of breast
D24,10,Benign neoplasm of breast
2123,9,Benign neoplasm of bronchus and lung
D143,10,Benign neoplasm of bronchus and lung
2275,9,Benign neoplasm of carotid body
D355,10,Benign neoplasm of carotid body
2252,9,Benign neoplasm of cerebral meninges
D320,10,Benign neoplasm of cerebral meninges
2246,9,Benign neoplasm of choroid
D313,10,Benign neoplasm of choroid
2243,9,Benign neoplasm of conjunctiva
D310,10,Benign neoplasm of conjunctiva
2244,9,Benign neoplasm of cornea
D311,10,Benign neoplasm of cornea
2251,9,Benign neoplasm of cranial nerves
D333,10,Benign neoplasm of cranial nerves
2223,9,Benign neoplasm of epididymis
D293,10,Benign neoplasm of epididymis
2110,9,Benign neoplasm of esophagus
D130,10,Benign neoplasm of esophagus
2103,9,Benign neoplasm of floor of mouth
D102,10,Benign neoplasm of floor of mouth
2127,9,Benign neoplasm of heart
D151,10,Benign neoplasm of heart
2108,9,Benign neoplasm of hypopharynx
D107,10,Benign neoplasm of hypopharynx
2121,9,Benign neoplasm of larynx
D141,10,Benign neoplasm of larynx
2100,9,Benign neoplasm of lip
D100,10,Benign neoplasm of lip
2137,9,Benign neoplasm of long bones of lower limb
D162,10,Benign neoplasm of long bones of lower limb
2131,9,Benign neoplasm of lower jaw bone
