icd_block,proc_block,n_hadm,proc_desc
040,549,1,Percutaneous abdominal drainage
040,801,1,"Other arthrotomy, unspecified site"
040,803,1,"Biopsy of joint structure, unspecified site"
040,830,1,Exploration of tendon sheath
040,831,1,Achillotenotomy
041,389,205,Arterial catheterization
041,966,53,Enteral infusion of concentrated nutritional substances
041,967,47,Continuous invasive mechanical ventilation of unspecified duration
041,862,45,Excision of pilonidal cyst or sinus
041,991,40,Injection or infusion of thrombolytic agent
041,960,39,Insertion of nasopharyngeal airway
041,332,36,Thoracoscopic lung biopsy
041,451,33,Transabdominal endoscopy of small intestine
041,860,31,Aspiration of skin and subcutaneous tissue
041,399,30,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
042,389,21,Arterial catheterization
042,451,10,Transabdominal endoscopy of small intestine
042,966,9,Enteral infusion of concentrated nutritional substances
042,967,8,Continuous invasive mechanical ventilation of unspecified duration
042,033,7,Spinal tap
042,332,7,Thoracoscopic lung biopsy
042,372,4,Noninvasive programmed electrical stimulation [NIPS]
042,549,3,Percutaneous abdominal drainage
042,860,3,Aspiration of skin and subcutaneous tissue
042,960,3,Insertion of nasopharyngeal airway
046,991,2,Injection or infusion of thrombolytic agent
046,033,1,Spinal tap
046,389,1,Arterial catheterization
046,413,1,Biopsy of bone marrow
046,451,1,Transabdominal endoscopy of small intestine
046,452,1,Transabdominal endoscopy of large intestine
046,482,1,Transabdominal proctosigmoidoscopy
047,033,4,Spinal tap
047,039,1,"Upper Arteries, Drainage"
048,033,1,Spinal tap
048,389,1,Arterial catheterization
049,011,1,Intracranial pressure monitoring
049,033,1,Spinal tap
052,033,1,Spinal tap
052,311,1,Temporary tracheostomy
052,332,1,Thoracoscopic lung biopsy
052,349,1,Thoracentesis
052,372,1,Noninvasive programmed electrical stimulation [NIPS]
052,389,1,Arterial catheterization
052,431,1,Percutaneous [endoscopic] gastrostomy [PEG]
052,887,1,Diagnostic ultrasound of head and neck
052,896,1,Continuous intra-arterial blood gas monitoring
052,966,1,Enteral infusion of concentrated nutritional substances
053,389,11,Arterial catheterization
053,992,11,Injection or infusion of platelet inhibitor
053,033,4,Spinal tap
053,410,3,"Bone marrow transplant, not otherwise specified"
053,413,3,Biopsy of bone marrow
053,966,3,Enteral infusion of concentrated nutritional substances
053,991,3,Injection or infusion of thrombolytic agent
053,332,2,Thoracoscopic lung biopsy
053,340,2,Incision of chest wall
053,349,2,Thoracentesis
054,389,12,Arterial catheterization
054,992,9,Injection or infusion of platelet inhibitor
054,033,8,Spinal tap
054,967,8,Continuous invasive mechanical ventilation of unspecified duration
054,966,7,Enteral infusion of concentrated nutritional substances
054,332,5,Thoracoscopic lung biopsy
054,451,5,Transabdominal endoscopy of small intestine
054,960,4,Insertion of nasopharyngeal airway
054,861,3,Closed biopsy of skin and subcutaneous tissue
054,314,2,Tracheoscopy through artificial stoma
057,413,1,Biopsy of bone marrow
057,501,1,Closed (percutaneous) [needle] biopsy of liver
057,861,1,Closed biopsy of skin and subcutaneous tissue
058,389,2,Arterial catheterization
058,033,1,Spinal tap
058,340,1,Incision of chest wall
058,410,1,"Bone marrow transplant, not otherwise specified"
058,452,1,Transabdominal endoscopy of large intestine
058,991,1,Injection or infusion of thrombolytic agent
058,992,1,Injection or infusion of platelet inhibitor
070,389,62,Arterial catheterization
070,451,21,Transabdominal endoscopy of small intestine
070,549,21,Percutaneous abdominal drainage
070,967,21,Continuous invasive mechanical ventilation of unspecified duration
070,946,18,Alcohol rehabilitation
070,966,17,Enteral infusion of concentrated nutritional substances
070,399,15,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
070,884,13,"Arteriography using contrast material, unspecified site"
070,960,12,Insertion of nasopharyngeal airway
070,887,11,Diagnostic ultrasound of head and neck
075,413,4,Biopsy of bone marrow
075,389,3,Arterial catheterization
075,399,3,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
075,991,3,Injection or infusion of thrombolytic agent
075,033,2,Spinal tap
075,452,2,Transabdominal endoscopy of large intestine
075,482,2,Transabdominal proctosigmoidoscopy
075,280,1,Incision and drainage of tonsil and peritonsillar structures
075,282,1,Tonsillectomy without adenoidectomy
075,397,1,Endovascular implantation of other graft in abdominal aorta
077,033,1,Spinal tap
077,389,1,Arterial catheterization
077,776,1,"Local excision of lesion or tissue of bone, unspecified site"
077,860,1,Aspiration of skin and subcutaneous tissue
078,991,7,Injection or infusion of thrombolytic agent
078,452,6,Transabdominal endoscopy of large intestine
078,389,5,Arterial catheterization
078,413,4,Biopsy of bone marrow
078,451,4,Transabdominal endoscopy of small intestine
078,482,3,Transabdominal proctosigmoidoscopy
078,332,2,Thoracoscopic lung biopsy
078,966,2,Enteral infusion of concentrated nutritional substances
078,967,2,Continuous invasive mechanical ventilation of unspecified duration
078,997,2,Therapeutic plasmapheresis
079,389,4,Arterial catheterization
079,991,4,Injection or infusion of thrombolytic agent
079,033,3,Spinal tap
079,413,3,Biopsy of bone marrow
079,451,2,Transabdominal endoscopy of small intestine
079,452,2,Transabdominal endoscopy of large intestine
079,552,2,Nephroscopy
079,340,1,Incision of chest wall
079,410,1,"Bone marrow transplant, not otherwise specified"
079,501,1,Closed (percutaneous) [needle] biopsy of liver
082,033,1,Spinal tap
084,997,1,Therapeutic plasmapheresis
088,389,3,Arterial catheterization
088,399,1,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
088,861,1,Closed biopsy of skin and subcutaneous tissue
088,990,1,Perioperative autologous transfusion of whole blood or blood components
088,991,1,Injection or infusion of thrombolytic agent
094,389,3,Arterial catheterization
094,004,1,Procedure on single vessel
094,395,1,Angioplasty of other non-coronary vessel(s)
094,399,1,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
094,776,1,"Local excision of lesion or tissue of bone, unspecified site"
094,862,1,Excision of pilonidal cyst or sinus
094,884,1,"Arteriography using contrast material, unspecified site"
094,991,1,Injection or infusion of thrombolytic agent
098,291,1,Pharyngoscopy
098,401,1,Biopsy of lymphatic structure
098,991,1,Injection or infusion of thrombolytic agent
110,389,4,Arterial catheterization
110,332,2,Thoracoscopic lung biopsy
110,862,2,Excision of pilonidal cyst or sinus
110,992,2,Injection or infusion of platelet inhibitor
110,009,1,"Central Nervous System and Cranial Nerves, Drainage"
110,410,1,"Bone marrow transplant, not otherwise specified"
110,413,1,Biopsy of bone marrow
110,860,1,Aspiration of skin and subcutaneous tissue
110,861,1,Closed biopsy of skin and subcutaneous tissue
110,946,1,Alcohol rehabilitation
111,001,1,"Central Nervous System and Cranial Nerves, Bypass"
111,230,1,Extraction of deciduous tooth
111,389,1,Arterial catheterization
111,966,1,Enteral infusion of concentrated nutritional substances
111,967,1,Continuous invasive mechanical ventilation of unspecified duration
111,990,1,Perioperative autologous transfusion of whole blood or blood components
111,992,1,Injection or infusion of platelet inhibitor
112,389,43,Arterial catheterization
112,966,21,Enteral infusion of concentrated nutritional substances
112,991,18,Injection or infusion of thrombolytic agent
112,967,17,Continuous invasive mechanical ventilation of unspecified duration
112,451,16,Transabdominal endoscopy of small intestine
112,960,8,Insertion of nasopharyngeal airway
112,311,7,Temporary tracheostomy
112,399,7,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
112,452,7,Transabdominal endoscopy of large intestine
112,992,7,Injection or infusion of platelet inhibitor
117,389,10,Arterial catheterization
117,991,5,Injection or infusion of thrombolytic agent
117,332,4,Thoracoscopic lung biopsy
117,992,4,Injection or infusion of platelet inhibitor
117,399,3,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
117,413,3,Biopsy of bone marrow
117,861,3,Closed biopsy of skin and subcutaneous tissue
117,004,2,Procedure on single vessel
117,395,2,Angioplasty of other non-coronary vessel(s)
117,960,2,Insertion of nasopharyngeal airway
123,033,1,Spinal tap
127,992,3,Injection or infusion of platelet inhibitor
127,389,2,Arterial catheterization
127,410,1,"Bone marrow transplant, not otherwise specified"
127,991,1,Injection or infusion of thrombolytic agent
130,332,2,Thoracoscopic lung biopsy
130,966,2,Enteral infusion of concentrated nutritional substances
130,967,2,Continuous invasive mechanical ventilation of unspecified duration
130,011,1,Intracranial pressure monitoring
130,311,1,Temporary tracheostomy
130,340,1,Incision of chest wall
130,389,1,Arterial catheterization
130,431,1,Percutaneous [endoscopic] gastrostomy [PEG]
130,451,1,Transabdominal endoscopy of small intestine
130,861,1,Closed biopsy of skin and subcutaneous tissue
135,389,5,Arterial catheterization
135,372,3,Noninvasive programmed electrical stimulation [NIPS]
135,451,3,Transabdominal endoscopy of small intestine
135,966,3,Enteral infusion of concentrated nutritional substances
135,431,2,Percutaneous [endoscopic] gastrostomy [PEG]
135,452,2,Transabdominal endoscopy of large intestine
135,549,2,Percutaneous abdominal drainage
135,573,2,Cystoscopy through artificial stoma
135,896,2,Continuous intra-arterial blood gas monitoring
135,967,2,Continuous invasive mechanical ventilation of unspecified duration
136,332,2,Thoracoscopic lung biopsy
136,033,1,Spinal tap
136,039,1,"Upper Arteries, Drainage"
136,311,1,Temporary tracheostomy
136,340,1,Incision of chest wall
136,349,1,Thoracentesis
136,431,1,Percutaneous [endoscopic] gastrostomy [PEG]
136,541,1,Exploratory laparotomy
136,545,1,Laparoscopic lysis of peritoneal adhesions
136,579,1,Sphincterotomy of bladder
138,536,4,Other open incisional hernia repair with graft or prosthesis
138,004,1,Procedure on single vessel
138,006,1,Insertion of drug-eluting stent(s) of superficial femoral artery
138,173,1,Laparoscopic multiple segmental resection of large intestine
138,352,1,Open and other replacement of unspecified heart valve
138,360,1,Open chest coronary artery angioplasty
138,361,1,"Aortocoronary bypass for heart revascularization, not otherwise specified"
138,372,1,Noninvasive programmed electrical stimulation [NIPS]
138,396,1,Extracorporeal circulation auxiliary to open heart surgery
138,457,1,Open and other multiple segmental resection of large intestine
139,399,10,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
139,992,6,Injection or infusion of platelet inhibitor
139,389,5,Arterial catheterization
139,033,3,Spinal tap
139,413,3,Biopsy of bone marrow
139,332,2,Thoracoscopic lung biopsy
139,966,2,Enteral infusion of concentrated nutritional substances
139,039,1,"Upper Arteries, Drainage"
139,314,1,Tracheoscopy through artificial stoma
139,322,1,Thoracoscopic excision of lesion or tissue of lung
141,275,2,Suture of laceration of lip
141,311,2,Temporary tracheostomy
141,389,2,Arterial catheterization
141,404,2,"Radical neck dissection, not otherwise specified"
141,763,2,Partial mandibulectomy
141,866,2,"Free skin graft, not otherwise specified"
141,966,2,Enteral infusion of concentrated nutritional substances
141,967,2,Continuous invasive mechanical ventilation of unspecified duration
141,230,1,Extraction of deciduous tooth
141,244,1,Excision of dental lesion of jaw
142,009,1,"Central Nervous System and Cranial Nerves, Drainage"
142,263,1,"Sialoadenectomy, not otherwise specified"
142,404,1,"Radical neck dissection, not otherwise specified"
144,230,1,Extraction of deciduous tooth
144,244,1,Excision of dental lesion of jaw
144,274,1,Labial frenectomy
144,275,1,Suture of laceration of lip
144,311,1,Temporary tracheostomy
144,314,1,Tracheoscopy through artificial stoma
144,389,1,Arterial catheterization
144,394,1,Control of hemorrhage following vascular surgery
144,404,1,"Radical neck dissection, not otherwise specified"
144,763,1,Partial mandibulectomy
149,332,1,Thoracoscopic lung biopsy
150,332,4,Thoracoscopic lung biopsy
150,966,4,Enteral infusion of concentrated nutritional substances
150,451,3,Transabdominal endoscopy of small intestine
150,340,2,Incision of chest wall
150,422,2,Operative esophagoscopy by incision
150,431,2,Percutaneous [endoscopic] gastrostomy [PEG]
150,573,2,Cystoscopy through artificial stoma
150,860,2,Aspiration of skin and subcutaneous tissue
150,980,2,Removal of intraluminal foreign body from mouth without incision
150,990,2,Perioperative autologous transfusion of whole blood or blood components
151,463,5,Delayed opening of other enterostomy
151,966,3,Enteral infusion of concentrated nutritional substances
151,039,2,"Upper Arteries, Drainage"
151,402,2,Excision of deep cervical lymph node
151,437,2,Partial gastrectomy with anastomosis to jejunum
151,459,2,"Intestinal anastomosis, not otherwise specified"
151,544,2,Excision or destruction of peritoneal tissue
151,860,2,Aspiration of skin and subcutaneous tissue
151,174,1,Open robotic assisted procedure
151,389,1,Arterial catheterization
153,173,8,Laparoscopic multiple segmental resection of large intestine
153,389,3,Arterial catheterization
153,457,3,Open and other multiple segmental resection of large intestine
153,501,3,Closed (percutaneous) [needle] biopsy of liver
153,966,3,Enteral infusion of concentrated nutritional substances
153,452,2,Transabdominal endoscopy of large intestine
153,468,2,"Intra-abdominal manipulation of intestine, not otherwise specified"
153,967,2,Continuous invasive mechanical ventilation of unspecified duration
153,004,1,Procedure on single vessel
153,006,1,Insertion of drug-eluting stent(s) of superficial femoral artery
154,459,2,"Intestinal anastomosis, not otherwise specified"
154,460,2,Exteriorization of small intestine
154,486,2,Transsacral rectosigmoidectomy
154,174,1,Open robotic assisted procedure
154,485,1,Abd-perineal rect resect
154,542,1,Laparoscopy
154,549,1,Percutaneous abdominal drainage
154,997,1,Therapeutic plasmapheresis
155,389,13,Arterial catheterization
155,549,8,Percutaneous abdominal drainage
155,875,8,Percutaneous hepatic cholangiogram
155,970,8,Replacement of (naso-)gastric or esophagostomy tube
155,992,7,Injection or infusion of platelet inhibitor
155,451,6,Transabdominal endoscopy of small intestine
155,511,6,Endoscopic retrograde cholangiopancreatography [ERCP]
155,884,6,"Arteriography using contrast material, unspecified site"
155,990,6,Perioperative autologous transfusion of whole blood or blood components
155,922,4,Infusion of liquid brachytherapy radioisotope
156,518,7,Dilation of sphincter of Oddi
156,875,6,Percutaneous hepatic cholangiogram
156,389,4,Arterial catheterization
156,451,4,Transabdominal endoscopy of small intestine
156,511,4,Endoscopic retrograde cholangiopancreatography [ERCP]
156,512,4,Other partial cholecystectomy
156,970,3,Replacement of (naso-)gastric or esophagostomy tube
156,401,2,Biopsy of lymphatic structure
156,403,2,Regional lymph node excision
156,463,2,Delayed opening of other enterostomy
157,451,12,Transabdominal endoscopy of small intestine
157,518,11,Dilation of sphincter of Oddi
157,511,10,Endoscopic retrograde cholangiopancreatography [ERCP]
157,887,9,Diagnostic ultrasound of head and neck
157,521,8,Closed [aspiration] [needle] [percutaneous] biopsy of pancreas
157,512,6,Other partial cholecystectomy
157,389,5,Arterial catheterization
157,527,4,Radical pancreaticoduodenectomy
157,549,4,Percutaneous abdominal drainage
157,970,3,Replacement of (naso-)gastric or esophagostomy tube
158,542,2,Laparoscopy
158,470,1,Laparoscopic appendectomy
158,544,1,Excision or destruction of peritoneal tissue
158,549,1,Percutaneous abdominal drainage
158,598,1,Ureteral catheterization
158,887,1,Diagnostic ultrasound of head and neck
160,001,1,"Central Nervous System and Cranial Nerves, Bypass"
160,389,1,Arterial catheterization
161,300,1,Marsupialization of laryngeal cyst
161,314,1,Tracheoscopy through artificial stoma
161,422,1,Operative esophagoscopy by incision
162,332,29,Thoracoscopic lung biopsy
162,401,12,Biopsy of lymphatic structure
162,324,10,Thoracoscopic lobectomy of lung
162,389,10,Arterial catheterization
162,403,10,Regional lymph node excision
162,960,10,Insertion of nasopharyngeal airway
162,340,7,Incision of chest wall
162,349,7,Thoracentesis
162,342,6,Thoracoscopic pleural biopsy
162,922,6,Infusion of liquid brachytherapy radioisotope
164,332,2,Thoracoscopic lung biopsy
164,078,1,"Thymectomy, not otherwise specified"
164,311,1,Temporary tracheostomy
164,389,1,Arterial catheterization
164,444,1,"Suture of peptic ulcer, not otherwise specified"
164,451,1,Transabdominal endoscopy of small intestine
164,463,1,Delayed opening of other enterostomy
164,465,1,"Closure of intestinal stoma, not otherwise specified"
164,467,1,Suture of laceration of duodenum
164,887,1,Diagnostic ultrasound of head and neck
171,992,7,Injection or infusion of platelet inhibitor
171,922,5,Infusion of liquid brachytherapy radioisotope
171,833,2,Excision of lesion of tendon sheath
171,860,2,Aspiration of skin and subcutaneous tissue
171,324,1,Thoracoscopic lobectomy of lung
171,332,1,Thoracoscopic lung biopsy
171,389,1,Arterial catheterization
171,399,1,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
171,405,1,"Radical excision of lymph nodes, not otherwise specified"
171,834,1,Excision of tendon for graft
172,015,3,"Peripheral Nervous System, Destruction"
172,340,2,Incision of chest wall
172,864,2,Radical excision of skin lesion
172,866,2,"Free skin graft, not otherwise specified"
172,885,2,"Angiocardiography, not otherwise specified"
172,960,2,Insertion of nasopharyngeal airway
172,001,1,"Central Nervous System and Cranial Nerves, Bypass"
172,009,1,"Central Nervous System and Cranial Nerves, Drainage"
172,021,1,"Heart and Great Vessels, Bypass"
172,319,1,Division of laryngeal nerve
173,866,2,"Free skin graft, not otherwise specified"
173,165,1,Exenteration of orbit with removal of adjacent structures
173,214,1,Resection of nose
173,431,1,Percutaneous [endoscopic] gastrostomy [PEG]
173,764,1,Total mandibulectomy with synchronous reconstruction
173,774,1,"Biopsy of bone, unspecified site"
173,861,1,Closed biopsy of skin and subcutaneous tissue
173,863,1,Other local excision or destruction of lesion or tissue of skin and subcutaneous tissue
173,942,1,Narcoanalysis
173,944,1,Group therapy for psychosexual dysfunction
174,854,11,Unilateral simple mastectomy
174,857,7,Total breast reconstruct
174,853,6,Unilateral reduction mammoplasty
174,402,5,Excision of deep cervical lymph node
174,858,3,Suture of laceration of breast
174,859,3,Aspiration of breast
174,372,2,Noninvasive programmed electrical stimulation [NIPS]
174,401,2,Biopsy of lymphatic structure
174,855,2,"Augmentation mammoplasty, not otherwise specified"
174,885,2,"Angiocardiography, not otherwise specified"
175,854,1,Unilateral simple mastectomy
179,534,1,Other and open repair of umbilical hernia with graft or prosthesis
179,573,1,Cystoscopy through artificial stoma
179,656,1,Other removal of both ovaries and tubes at same operative episode
179,684,1,Laparoscopic total abdominal hysterectomy
179,874,1,Computerized axial tomography of thorax
180,567,1,Urinary diversion to intestine
180,573,1,Cystoscopy through artificial stoma
180,578,1,Suture of laceration of bladder
180,598,1,Ureteral catheterization
180,656,1,Other removal of both ovaries and tubes at same operative episode
180,684,1,Laparoscopic total abdominal hysterectomy
180,685,1,Laparoscopically assisted vaginal hysterectomy (LAVH)
180,707,1,Suture of laceration of vagina
180,892,1,Urinary manometry
180,922,1,Infusion of liquid brachytherapy radioisotope
182,656,9,Other removal of both ovaries and tubes at same operative episode
182,684,8,Laparoscopic total abdominal hysterectomy
182,542,6,Laparoscopy
182,403,4,Regional lymph node excision
182,573,4,Cystoscopy through artificial stoma
182,544,3,Excision or destruction of peritoneal tissue
182,685,3,Laparoscopically assisted vaginal hysterectomy (LAVH)
182,654,2,Laparoscopic unilateral salpingo-oophorectomy
182,707,2,Suture of laceration of vagina
182,819,2,Arthrocentesis
183,544,7,Excision or destruction of peritoneal tissue
183,684,6,Laparoscopic total abdominal hysterectomy
183,656,5,Other removal of both ovaries and tubes at same operative episode
183,991,4,Injection or infusion of thrombolytic agent
183,349,3,Thoracentesis
183,389,3,Arterial catheterization
183,549,3,Percutaneous abdominal drainage
183,992,3,Injection or infusion of platelet inhibitor
183,039,2,"Upper Arteries, Drainage"
183,340,2,Incision of chest wall
184,922,2,Infusion of liquid brachytherapy radioisotope
184,387,1,Interruption of the vena cava
184,774,1,"Biopsy of bone, unspecified site"
184,793,1,"Open reduction of fracture with internal fixation, unspecified site"
184,885,1,"Angiocardiography, not otherwise specified"
185,389,12,Arterial catheterization
185,605,12,Radical prostatectomy
185,403,7,Regional lymph node excision
185,992,5,Injection or infusion of platelet inhibitor
185,174,4,Open robotic assisted procedure
185,559,4,Decapsulation of kidney
185,884,4,"Arteriography using contrast material, unspecified site"
185,887,4,Diagnostic ultrasound of head and neck
185,922,4,Infusion of liquid brachytherapy radioisotope
185,396,3,Extracorporeal circulation auxiliary to open heart surgery
187,614,1,Suture of laceration of scrotum and tunica vaginalis
188,574,5,Transurethral lysis of intraluminal adhesions
188,174,2,Open robotic assisted procedure
188,387,2,Interruption of the vena cava
188,403,2,Regional lymph node excision
188,550,2,Nephrotomy
188,573,2,Cystoscopy through artificial stoma
188,577,2,Radical cystectomy
188,877,2,Computerized axial tomography of kidney
188,349,1,Thoracentesis
188,372,1,Noninvasive programmed electrical stimulation [NIPS]
189,555,4,Nephroureterectomy
189,349,3,Thoracentesis
189,554,3,Partial nephrectomy
189,001,2,"Central Nervous System and Cranial Nerves, Bypass"
189,015,2,"Peripheral Nervous System, Destruction"
189,021,2,"Heart and Great Vessels, Bypass"
189,072,2,"Lymphatic and Hemic Systems, Change"
189,174,2,Open robotic assisted procedure
189,340,2,Incision of chest wall
189,389,2,Arterial catheterization
191,015,6,"Peripheral Nervous System, Destruction"
191,011,3,Intracranial pressure monitoring
191,935,2,Application of plaster jacket
191,003,1,Computer assisted surgery with CT/CTA
191,021,1,"Heart and Great Vessels, Bypass"
191,870,1,Pneumoencephalogram
191,884,1,"Arteriography using contrast material, unspecified site"
191,922,1,Infusion of liquid brachytherapy radioisotope
191,967,1,Continuous invasive mechanical ventilation of unspecified duration
193,064,5,Complete thyroidectomy
193,062,1,Unilateral thyroid lobectomy
193,068,1,Complete parathyroidectomy
193,069,1,"Lower Veins, Drainage"
193,422,1,Operative esophagoscopy by incision
193,429,1,Ligation of esophageal varices
193,922,1,Infusion of liquid brachytherapy radioisotope
193,966,1,Enteral infusion of concentrated nutritional substances
193,992,1,Injection or infusion of platelet inhibitor
194,967,1,Continuous invasive mechanical ventilation of unspecified duration
195,015,1,"Peripheral Nervous System, Destruction"
196,389,18,Arterial catheterization
196,332,11,Thoracoscopic lung biopsy
196,401,11,Biopsy of lymphatic structure
196,349,8,Thoracentesis
196,992,8,Injection or infusion of platelet inhibitor
196,403,7,Regional lymph node excision
196,451,7,Transabdominal endoscopy of small intestine
196,960,7,Insertion of nasopharyngeal airway
196,922,6,Infusion of liquid brachytherapy radioisotope
196,001,5,"Central Nervous System and Cranial Nerves, Bypass"
197,389,34,Arterial catheterization
197,549,15,Percutaneous abdominal drainage
197,332,14,Thoracoscopic lung biopsy
197,451,14,Transabdominal endoscopy of small intestine
197,991,14,Injection or infusion of thrombolytic agent
197,349,12,Thoracentesis
197,992,12,Injection or infusion of platelet inhibitor
197,922,11,Infusion of liquid brachytherapy radioisotope
197,966,11,Enteral infusion of concentrated nutritional substances
197,967,10,Continuous invasive mechanical ventilation of unspecified duration
198,389,31,Arterial catheterization
198,015,16,"Peripheral Nervous System, Destruction"
198,349,11,Thoracentesis
198,922,11,Infusion of liquid brachytherapy radioisotope
198,001,10,"Central Nervous System and Cranial Nerves, Bypass"
198,990,10,Perioperative autologous transfusion of whole blood or blood components
198,810,9,"Spinal fusion, not otherwise specified"
198,816,9,Fusion or refusion of 2-3 vertebrae
198,967,9,Continuous invasive mechanical ventilation of unspecified duration
198,332,8,Thoracoscopic lung biopsy
199,389,3,Arterial catheterization
199,452,2,Transabdominal endoscopy of large intestine
199,518,2,Dilation of sphincter of Oddi
199,810,2,"Spinal fusion, not otherwise specified"
199,816,2,Fusion or refusion of 2-3 vertebrae
199,845,2,Insertion of interbody spinal fusion device
199,884,2,"Arteriography using contrast material, unspecified site"
199,004,1,Procedure on single vessel
199,035,1,"Upper Arteries, Destruction"
199,048,1,"Peripheral nerve injection, not otherwise specified"
200,992,6,Injection or infusion of platelet inhibitor
200,389,4,Arterial catheterization
200,413,2,Biopsy of bone marrow
200,966,2,Enteral infusion of concentrated nutritional substances
200,991,2,Injection or infusion of thrombolytic agent
200,011,1,Intracranial pressure monitoring
200,033,1,Spinal tap
200,035,1,"Upper Arteries, Destruction"
200,039,1,"Upper Arteries, Drainage"
200,332,1,Thoracoscopic lung biopsy
201,389,1,Arterial catheterization
201,431,1,Percutaneous [endoscopic] gastrostomy [PEG]
201,451,1,Transabdominal endoscopy of small intestine
201,861,1,Closed biopsy of skin and subcutaneous tissue
201,887,1,Diagnostic ultrasound of head and neck
201,980,1,Removal of intraluminal foreign body from mouth without incision
201,990,1,Perioperative autologous transfusion of whole blood or blood components
202,992,54,Injection or infusion of platelet inhibitor
202,389,34,Arterial catheterization
202,399,16,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
202,991,15,Injection or infusion of thrombolytic agent
202,413,13,Biopsy of bone marrow
202,033,7,Spinal tap
202,860,6,Aspiration of skin and subcutaneous tissue
202,967,5,Continuous invasive mechanical ventilation of unspecified duration
202,401,4,Biopsy of lymphatic structure
202,451,4,Transabdominal endoscopy of small intestine
203,992,24,Injection or infusion of platelet inhibitor
203,389,20,Arterial catheterization
203,399,10,Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s)
203,410,7,"Bone marrow transplant, not otherwise specified"
203,922,7,Infusion of liquid brachytherapy radioisotope
203,889,6,"Diagnostic imaging, not elsewhere classified"
203,413,4,Biopsy of bone marrow
203,966,4,Enteral infusion of concentrated nutritional substances
203,991,4,Injection or infusion of thrombolytic agent
203,997,4,Therapeutic plasmapheresis
204,389,7,Arterial catheterization
204,033,6,Spinal tap
204,991,5,Injection or infusion of thrombolytic agent
204,413,4,Biopsy of bone marrow
204,992,3,Injection or infusion of platelet inhibitor
