block,icd_code,n_hadm,long_title
009,00930ZZ,1,"Drainage of Intracranial Epidural Space, Open Approach"
009,009600Z,1,"Drainage of Cerebral Ventricle with Drainage Device, Open Approach"
009,00963ZZ,1,"Drainage of Cerebral Ventricle, Percutaneous Approach"
009,00970ZZ,1,"Drainage of Cerebral Hemisphere, Open Approach"
009,009U0ZZ,1,"Drainage of Spinal Canal, Open Approach"
009,009W0ZZ,1,"Drainage of Cervical Spinal Cord, Open Approach"
00B,00B70ZZ,13,"Excision of Cerebral Hemisphere, Open Approach"
00B,00B00ZZ,8,"Excision of Brain, Open Approach"
00B,00B10ZZ,6,"Excision of Cerebral Meninges, Open Approach"
00B,00B70ZX,6,"Excision of Cerebral Hemisphere, Open Approach, Diagnostic"
00B,00B00ZX,4,"Excision of Brain, Open Approach, Diagnostic"
00B,00B20ZZ,4,"Excision of Dura Mater, Open Approach"
00B,00BC0ZZ,4,"Excision of Cerebellum, Open Approach"
00B,00B73ZX,3,"Excision of Cerebral Hemisphere, Percutaneous Approach, Diagnostic"
00B,00BT0ZX,3,"Excision of Spinal Meninges, Open Approach, Diagnostic"
00B,00BW0ZZ,3,"Excision of Cervical Spinal Cord, Open Approach"
00B,00B03ZX,2,"Excision of Brain, Percutaneous Approach, Diagnostic"
00B,00B93ZX,2,"Excision of Thalamus, Percutaneous Approach, Diagnostic"
00B,00BC0ZX,2,"Excision of Cerebellum, Open Approach, Diagnostic"
00B,00BM0ZZ,2,"Excision of Facial Nerve, Open Approach"
00B,00BT0ZZ,2,"Excision of Spinal Meninges, Open Approach"
00B,00B90ZZ,1,"Excision of Thalamus, Open Approach"
00B,00BN0ZZ,1,"Excision of Acoustic Nerve, Open Approach"
00B,00BX0ZX,1,"Excision of Thoracic Spinal Cord, Open Approach, Diagnostic"
00B,00BX0ZZ,1,"Excision of Thoracic Spinal Cord, Open Approach"
00B,00BY0ZZ,1,"Excision of Lumbar Spinal Cord, Open Approach"
00C,00C40ZZ,10,"Extirpation of Matter from Intracranial Subdural Space, Open Approach"
00C,00C70ZZ,3,"Extirpation of Matter from Cerebral Hemisphere, Open Approach"
00C,00C00ZZ,2,"Extirpation of Matter from Brain, Open Approach"
00C,00C03ZZ,1,"Extirpation of Matter from Brain, Percutaneous Approach"
00C,00C30ZZ,1,"Extirpation of Matter from Intracranial Epidural Space, Open Approach"
00C,00CY0ZZ,1,"Extirpation of Matter from Lumbar Spinal Cord, Open Approach"
00H,00HU33Z,22,"Insertion of Infusion Device into Spinal Canal, Percutaneous Approach"
00H,00H633Z,3,"Insertion of Infusion Device into Cerebral Ventricle, Percutaneous Approach"
00H,00H03MZ,2,"Insertion of Neurostimulator Lead into Brain, Percutaneous Approach"
00H,00HU03Z,2,"Insertion of Infusion Device into Spinal Canal, Open Approach"
00H,00HU3MZ,1,"Insertion of Neurostimulator Lead into Spinal Canal, Percutaneous Approach"
00J,00JU3ZZ,21,"Inspection of Spinal Canal, Percutaneous Approach"
00J,00J00ZZ,1,"Inspection of Brain, Open Approach"
00N,00NW0ZZ,12,"Release Cervical Spinal Cord, Open Approach"
00N,00NY0ZZ,7,"Release Lumbar Spinal Cord, Open Approach"
00N,00NX0ZZ,5,"Release Thoracic Spinal Cord, Open Approach"
00N,00N00ZZ,4,"Release Brain, Open Approach"
00N,00N70ZZ,1,"Release Cerebral Hemisphere, Open Approach"
00N,00NC0ZZ,1,"Release Cerebellum, Open Approach"
00N,00NK0ZZ,1,"Release Trigeminal Nerve, Open Approach"
00P,00P03MZ,2,"Removal of Neurostimulator Lead from Brain, Percutaneous Approach"
00P,00P630Z,2,"Removal of Drainage Device from Cerebral Ventricle, Percutaneous Approach"
00P,00P60JZ,1,"Removal of Synthetic Substitute from Cerebral Ventricle, Open Approach"
00P,00P63JZ,1,"Removal of Synthetic Substitute from Cerebral Ventricle, Percutaneous Approach"
00P,00P64JZ,1,"Removal of Synthetic Substitute from Cerebral Ventricle, Percutaneous Endoscopic Approach"
00Q,00QT0ZZ,4,"Repair Spinal Meninges, Open Approach"
00Q,00Q20ZZ,2,"Repair Dura Mater, Open Approach"
00U,00U20KZ,11,"Supplement Dura Mater with Nonautologous Tissue Substitute, Open Approach"
00U,00U207Z,5,"Supplement Dura Mater with Autologous Tissue Substitute, Open Approach"
00U,00U20JZ,4,"Supplement Dura Mater with Synthetic Substitute, Open Approach"
00U,00UT07Z,1,"Supplement Spinal Meninges with Autologous Tissue Substitute, Open Approach"
00U,00UT0KZ,1,"Supplement Spinal Meninges with Nonautologous Tissue Substitute, Open Approach"
00W,00W63JZ,2,"Revision of Synthetic Substitute in Cerebral Ventricle, Percutaneous Approach"
00W,00W60JZ,1,"Revision of Synthetic Substitute in Cerebral Ventricle, Open Approach"
010,0102,2,Ventriculopuncture through previously implanted catheter
010,0109,1,Other cranial puncture
011,0113,7,Closed [percutaneous] [needle] biopsy of brain
011,0110,6,Intracranial pressure monitoring
011,0114,2,Open biopsy of brain
012,0124,13,Other craniotomy
012,0125,3,Other craniectomy
012,0122,1,Removal of intracranial neurostimulator lead(s)
012,0127,1,Removal of catheter(s) from cranial cavity or tissue
013,0131,29,Incision of cerebral meninges
013,0139,5,Other incision of brain
015,0159,44,Other excision or destruction of lesion or tissue of brain
015,0151,7,Excision of lesion or tissue of cerebral meninges
015,0153,1,Lobectomy of brain
016,016,1,Excision of lesion of skull
01B,01B60ZZ,1,"Excision of Radial Nerve, Open Approach"
01N,01NB0ZZ,30,"Release Lumbar Nerve, Open Approach"
01N,01N10ZZ,3,"Release Cervical Nerve, Open Approach"
01N,01N50ZZ,3,"Release Median Nerve, Open Approach"
01N,01N60ZZ,2,"Release Radial Nerve, Open Approach"
01N,01N80ZZ,2,"Release Thoracic Nerve, Open Approach"
01N,01N40ZZ,1,"Release Ulnar Nerve, Open Approach"
01N,01NG0ZZ,1,"Release Tibial Nerve, Open Approach"
01N,01NR0ZZ,1,"Release Sacral Nerve, Open Approach"
01Q,01Q40ZZ,3,"Repair Ulnar Nerve, Open Approach"
01Q,01Q60ZZ,1,"Repair Radial Nerve, Open Approach"
01R,01R60JZ,1,"Replacement of Radial Nerve with Synthetic Substitute, Open Approach"
020,0202,4,Elevation of skull fracture fragments
020,0205,4,Insertion of skull plate
020,0206,4,Other cranial osteoplasty
020,0204,1,Bone graft to skull
020,0207,1,Removal of skull plate
021,02100Z9,111,"Bypass Coronary Artery, One Artery from Left Internal Mammary, Open Approach"
021,021109W,39,"Bypass Coronary Artery, Two Arteries from Aorta with Autologous Venous Tissue, Open Approach"
021,021009W,29,"Bypass Coronary Artery, One Artery from Aorta with Autologous Venous Tissue, Open Approach"
021,021209W,27,"Bypass Coronary Artery, Three Arteries from Aorta with Autologous Venous Tissue, Open Approach"
021,0212,24,Other repair of cerebral meninges
021,02100AW,17,"Bypass Coronary Artery, One Artery from Aorta with Autologous Arterial Tissue, Open Approach"
021,02100Z8,12,"Bypass Coronary Artery, One Artery from Right Internal Mammary, Open Approach"
021,02110Z9,9,"Bypass Coronary Artery, Two Arteries from Left Internal Mammary, Open Approach"
021,021309W,8,"Bypass Coronary Artery, Four or More Arteries from Aorta with Autologous Venous Tissue, Open Approach"
021,02110AW,4,"Bypass Coronary Artery, Two Arteries from Aorta with Autologous Arterial Tissue, Open Approach"
021,02110Z8,4,"Bypass Coronary Artery, Two Arteries from Right Internal Mammary, Open Approach"
021,0210093,3,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Venous Tissue, Open Approach"
021,0211099,2,"Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Venous Tissue, Open Approach"
021,0210099,1,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Venous Tissue, Open Approach"
021,02100A3,1,"Bypass Coronary Artery, One Artery from Coronary Artery with Autologous Arterial Tissue, Open Approach"
021,02100A8,1,"Bypass Coronary Artery, One Artery from Right Internal Mammary with Autologous Arterial Tissue, Open Approach"
021,02100A9,1,"Bypass Coronary Artery, One Artery from Left Internal Mammary with Autologous Arterial Tissue, Open Approach"
021,0211093,1,"Bypass Coronary Artery, Two Arteries from Coronary Artery with Autologous Venous Tissue, Open Approach"
021,02110A9,1,"Bypass Coronary Artery, Two Arteries from Left Internal Mammary with Autologous Arterial Tissue, Open Approach"
021,02120A8,1,"Bypass Coronary Artery, Three Arteries from Right Internal Mammary with Autologous Arterial Tissue, Open Approach"
021,02120Z9,1,"Bypass Coronary Artery, Three Arteries from Left Internal Mammary, Open Approach"
021,02130A3,1,"Bypass Coronary Artery, Four or More Arteries from Coronary Artery with Autologous Arterial Tissue, Open Approach"
022,0221,15,Insertion or replacement of external ventricular drain [EVD]
022,022,7,Ventriculostomy
022,0222,1,Intracranial ventricular shunt or anastomosis
023,0234,16,Ventricular shunt to abdominal cavity and organs
023,0239,5,Ventricular shunt to extracranial site NEC
024,0243,2,Removal of ventricular shunt
024,0242,1,Replacement of ventricular shunt
025,02583ZZ,12,"Destruction of Conduction Mechanism, Percutaneous Approach"
025,02580ZZ,8,"Destruction of Conduction Mechanism, Open Approach"
025,02570ZK,1,"Destruction of Left Atrial Appendage, Open Approach"
025,02570ZZ,1,"Destruction of Left Atrium, Open Approach"
025,02573ZZ,1,"Destruction of Left Atrium, Percutaneous Approach"
025,025S0ZZ,1,"Destruction of Right Pulmonary Vein, Open Approach"
025,025T0ZZ,1,"Destruction of Left Pulmonary Vein, Open Approach"
027,027034Z,44,"Dilation of Coronary Artery, One Artery with Drug-eluting Intraluminal Device, Percutaneous Approach"
027,02703ZZ,16,"Dilation of Coronary Artery, One Artery, Percutaneous Approach"
027,027035Z,10,"Dilation of Coronary Artery, One Artery with Two Drug-eluting Intraluminal Devices, Percutaneous Approach"
027,027134Z,8,"Dilation of Coronary Artery, Two Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach"
027,02703DZ,5,"Dilation of Coronary Artery, One Artery with Intraluminal Device, Percutaneous Approach"
027,027036Z,3,"Dilation of Coronary Artery, One Artery with Three Drug-eluting Intraluminal Devices, Percutaneous Approach"
027,0270346,2,"Dilation of Coronary Artery, One Artery, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach"
027,027135Z,2,"Dilation of Coronary Artery, Two Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Approach"
027,027234Z,2,"Dilation of Coronary Artery, Three Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach"
027,027F3ZZ,2,"Dilation of Aortic Valve, Percutaneous Approach"
027,0270356,1,"Dilation of Coronary Artery, One Artery, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach"
027,02703EZ,1,"Dilation of Coronary Artery, One Artery with Two Intraluminal Devices, Percutaneous Approach"
027,02703Z6,1,"Dilation of Coronary Artery, One Artery, Bifurcation, Percutaneous Approach"
027,02704ZZ,1,"Dilation of Coronary Artery, One Artery, Percutaneous Endoscopic Approach"
027,0271356,1,"Dilation of Coronary Artery, Two Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach"
027,027136Z,1,"Dilation of Coronary Artery, Two Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach"
027,02713ZZ,1,"Dilation of Coronary Artery, Two Arteries, Percutaneous Approach"
027,0272366,1,"Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach"
027,027236Z,1,"Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach"
027,027237Z,1,"Dilation of Coronary Artery, Three Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach"
027,027337Z,1,"Dilation of Coronary Artery, Four or More Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach"
027,027L0ZZ,1,"Dilation of Left Ventricle, Open Approach"
027,027V3ZZ,1,"Dilation of Superior Vena Cava, Percutaneous Approach"
029,0294,4,Insertion or replacement of skull tongs or halo traction device
029,0291,3,Lysis of cortical adhesions
029,0293,1,Implantation or replacement of intracranial neurostimulator lead(s)
029,0295,1,Removal of skull tongs or halo traction device
029,0299,1,"Other operations on skull, brain, and cerebral meninges"
02B,02BG0ZZ,7,"Excision of Mitral Valve, Open Approach"
02B,02B70ZK,5,"Excision of Left Atrial Appendage, Open Approach"
02B,02B50ZZ,3,"Excision of Atrial Septum, Open Approach"
02B,02B70ZZ,2,"Excision of Left Atrium, Open Approach"
02B,02BK3ZX,2,"Excision of Right Ventricle, Percutaneous Approach, Diagnostic"
02B,02B60ZZ,1,"Excision of Right Atrium, Open Approach"
02B,02BM0ZZ,1,"Excision of Ventricular Septum, Open Approach"
02B,02BM3ZX,1,"Excision of Ventricular Septum, Percutaneous Approach, Diagnostic"
02B,02BN0ZZ,1,"Excision of Pericardium, Open Approach"
02B,02BN4ZX,1,"Excision of Pericardium, Percutaneous Endoscopic Approach, Diagnostic"
02B,02BP0ZZ,1,"Excision of Pulmonary Trunk, Open Approach"
02C,02C03ZZ,7,"Extirpation of Matter from Coronary Artery, One Artery, Percutaneous Approach"
02C,02C13ZZ,2,"Extirpation of Matter from Coronary Artery, Two Arteries, Percutaneous Approach"
02C,02CG0ZZ,1,"Extirpation of Matter from Mitral Valve, Open Approach"
02H,02HV33Z,524,"Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach"
02H,02H633Z,104,"Insertion of Infusion Device into Right Atrium, Percutaneous Approach"
02H,02HK3JZ,31,"Insertion of Pacemaker Lead into Right Ventricle, Percutaneous Approach"
02H,02H63JZ,28,"Insertion of Pacemaker Lead into Right Atrium, Percutaneous Approach"
02H,02HP32Z,19,"Insertion of Monitoring Device into Pulmonary Trunk, Percutaneous Approach"
02H,02HA3RZ,10,"Insertion of Short-term External Heart Assist System into Heart, Percutaneous Approach"
02H,02HK3KZ,7,"Insertion of Defibrillator Lead into Right Ventricle, Percutaneous Approach"
02H,02HQ32Z,7,"Insertion of Monitoring Device into Right Pulmonary Artery, Percutaneous Approach"
02H,02H63KZ,4,"Insertion of Defibrillator Lead into Right Atrium, Percutaneous Approach"
02H,02HA0QZ,3,"Insertion of Implantable Heart Assist System into Heart, Open Approach"
02H,02HA3RJ,2,"Insertion of Short-term External Heart Assist System into Heart, Intraoperative, Percutaneous Approach"
02H,02HA3RS,2,"Insertion of Biventricular Short-term External Heart Assist System into Heart, Percutaneous Approach"
02H,02HL0KZ,2,"Insertion of Defibrillator Lead into Left Ventricle, Open Approach"
02H,02HL3KZ,2,"Insertion of Defibrillator Lead into Left Ventricle, Percutaneous Approach"
02H,02HN0KZ,2,"Insertion of Defibrillator Lead into Pericardium, Open Approach"
02H,02H43KZ,1,"Insertion of Defibrillator Lead into Coronary Vein, Percutaneous Approach"
02H,02H60JZ,1,"Insertion of Pacemaker Lead into Right Atrium, Open Approach"
02H,02HK0JZ,1,"Insertion of Pacemaker Lead into Right Ventricle, Open Approach"
02H,02HK3MZ,1,"Insertion of Cardiac Lead into Right Ventricle, Percutaneous Approach"
02H,02HL3JZ,1,"Insertion of Pacemaker Lead into Left Ventricle, Percutaneous Approach"
02K,02K83ZZ,10,"Map Conduction Mechanism, Percutaneous Approach"
02L,02L70CK,5,"Occlusion of Left Atrial Appendage with Extraluminal Device, Open Approach"
02L,02L70ZK,2,"Occlusion of Left Atrial Appendage, Open Approach"
02P,02PY33Z,11,"Removal of Infusion Device from Great Vessel, Percutaneous Approach"
02P,02PA3MZ,9,"Removal of Cardiac Lead from Heart, Percutaneous Approach"
02P,02PA3RZ,6,"Removal of Short-term External Heart Assist System from Heart, Percutaneous Approach"
02P,02PAX3Z,4,"Removal of Infusion Device from Heart, External Approach"
02P,02PYX3Z,3,"Removal of Infusion Device from Great Vessel, External Approach"
02P,02PA0MZ,1,"Removal of Cardiac Lead from Heart, Open Approach"
02P,02PA0RZ,1,"Removal of Short-term External Heart Assist System from Heart, Open Approach"
02P,02PA33Z,1,"Removal of Infusion Device from Heart, Percutaneous Approach"
02P,02PA3QZ,1,"Removal of Implantable Heart Assist System from Heart, Percutaneous Approach"
02Q,02QG0ZZ,2,"Repair Mitral Valve, Open Approach"
02Q,02Q50ZZ,1,"Repair Atrial Septum, Open Approach"
02Q,02Q53ZZ,1,"Repair Atrial Septum, Percutaneous Approach"
02Q,02QR0ZZ,1,"Repair Left Pulmonary Artery, Open Approach"
02Q,02QT0ZZ,1,"Repair Left Pulmonary Vein, Open Approach"
02R,02RF08Z,46,"Replacement of Aortic Valve with Zooplastic Tissue, Open Approach"
02R,02RF38Z,24,"Replacement of Aortic Valve with Zooplastic Tissue, Percutaneous Approach"
02R,02RF0JZ,12,"Replacement of Aortic Valve with Synthetic Substitute, Open Approach"
02R,02RG0JZ,7,"Replacement of Mitral Valve with Synthetic Substitute, Open Approach"
02R,02RG08Z,6,"Replacement of Mitral Valve with Zooplastic Tissue, Open Approach"
02R,02RX0JZ,6,"Replacement of Thoracic Aorta, Ascending/Arch with Synthetic Substitute, Open Approach"
02R,02RG38Z,4,"Replacement of Mitral Valve with Zooplastic Tissue, Percutaneous Approach"
02R,02RW0JZ,3,"Replacement of Thoracic Aorta, Descending with Synthetic Substitute, Open Approach"
02R,02RF0KZ,2,"Replacement of Aortic Valve with Nonautologous Tissue Substitute, Open Approach"
02R,02RG0KZ,1,"Replacement of Mitral Valve with Nonautologous Tissue Substitute, Open Approach"
02R,02RJ08Z,1,"Replacement of Tricuspid Valve with Zooplastic Tissue, Open Approach"
02R,02RX08Z,1,"Replacement of Thoracic Aorta, Ascending/Arch with Zooplastic Tissue, Open Approach"
02U,02UG0JZ,16,"Supplement Mitral Valve with Synthetic Substitute, Open Approach"
02U,02U508Z,5,"Supplement Atrial Septum with Zooplastic Tissue, Open Approach"
02U,02UG3JZ,4,"Supplement Mitral Valve with Synthetic Substitute, Percutaneous Approach"
02U,02UJ0JZ,4,"Supplement Tricuspid Valve with Synthetic Substitute, Open Approach"
02U,02U90JZ,1,"Supplement Chordae Tendineae with Synthetic Substitute, Open Approach"
02U,02UG07Z,1,"Supplement Mitral Valve with Autologous Tissue Substitute, Open Approach"
02U,02UG08Z,1,"Supplement Mitral Valve with Zooplastic Tissue, Open Approach"
02U,02UL08Z,1,"Supplement Left Ventricle with Zooplastic Tissue, Open Approach"
02U,02UN08Z,1,"Supplement Pericardium with Zooplastic Tissue, Open Approach"
02U,02UW08Z,1,"Supplement Thoracic Aorta, Descending with Zooplastic Tissue, Open Approach"
02U,02UW0JZ,1,"Supplement Thoracic Aorta, Descending with Synthetic Substitute, Open Approach"
02U,02UX08Z,1,"Supplement Thoracic Aorta, Ascending/Arch with Zooplastic Tissue, Open Approach"
02V,02VW3DZ,3,"Restriction of Thoracic Aorta, Descending with Intraluminal Device, Percutaneous Approach"
02V,02VW3FZ,1,"Restriction of Thoracic Aorta, Descending with Branched or Fenestrated Intraluminal Device, Three or More Arteries, Percutaneous Approach"
02V,02VX3DZ,1,"Restriction of Thoracic Aorta, Ascending/Arch with Intraluminal Device, Percutaneous Approach"
02V,02VX3EZ,1,"Restriction of Thoracic Aorta, Ascending/Arch with Branched or Fenestrated Intraluminal Device, One or Two Arteries, Percutaneous Approach"
02W,02WY33Z,2,"Revision of Infusion Device in Great Vessel, Percutaneous Approach"
02W,02WA0MZ,1,"Revision of Cardiac Lead in Heart, Open Approach"
02W,02WA3MZ,1,"Revision of Cardiac Lead in Heart, Percutaneous Approach"
02W,02WAXRZ,1,"Revision of Short-term External Heart Assist System in Heart, External Approach"
02W,02WY3DZ,1,"Revision of Intraluminal Device in Great Vessel, Percutaneous Approach"
030,0309,55,Other exploration and decompression of spinal canal
031,031,1,Division of intraspinal nerve root
031,031,1,"Upper Arteries, Bypass"
031,03180ZD,1,"Bypass Left Brachial Artery to Upper Arm Vein, Open Approach"
031,031C0ZF,1,"Bypass Left Radial Artery to Lower Arm Vein, Open Approach"
033,0331,221,Spinal tap
034,034,11,Excision or destruction of lesion of spinal cord or spinal meninges
035,0353,34,Repair of vertebral fracture
035,0359,15,Other repair and plastic operations on spinal cord structures
036,036,1,Lysis of adhesions of spinal cord and nerve roots
037,037L3DZ,4,"Dilation of Left Internal Carotid Artery with Intraluminal Device, Percutaneous Approach"
037,03723ZZ,3,"Dilation of Innominate Artery, Percutaneous Approach"
037,037K3DZ,3,"Dilation of Right Internal Carotid Artery with Intraluminal Device, Percutaneous Approach"
037,0371,1,Spinal subarachnoid-peritoneal shunt
037,037434Z,1,"Dilation of Left Subclavian Artery with Drug-eluting Intraluminal Device, Percutaneous Approach"
037,03773ZZ,1,"Dilation of Right Brachial Artery, Percutaneous Approach"
037,03783ZZ,1,"Dilation of Left Brachial Artery, Percutaneous Approach"
037,03793ZZ,1,"Dilation of Right Ulnar Artery, Percutaneous Approach"
037,037K3ZZ,1,"Dilation of Right Internal Carotid Artery, Percutaneous Approach"
037,037L3ZZ,1,"Dilation of Left Internal Carotid Artery, Percutaneous Approach"
037,037Y3Z6,1,"Dilation of Upper Artery, Bifurcation, Percutaneous Approach"
039,0390,78,Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances
039,0392,17,Injection of other agent into spinal canal
039,0391,8,Injection of anesthetic into spinal canal for analgesia
039,0395,6,Spinal blood patch
039,0394,3,Removal of spinal neurostimulator lead(s)
03B,03BC4ZZ,22,"Excision of Left Radial Artery, Percutaneous Endoscopic Approach"
03B,03BG0ZZ,4,"Excision of Intracranial Artery, Open Approach"
03B,03BS0ZX,2,"Excision of Right Temporal Artery, Open Approach, Diagnostic"
03B,03B10ZZ,1,"Excision of Left Internal Mammary Artery, Open Approach"
03B,03B50ZZ,1,"Excision of Right Axillary Artery, Open Approach"
03B,03B60ZZ,1,"Excision of Left Axillary Artery, Open Approach"
03B,03BC3ZZ,1,"Excision of Left Radial Artery, Percutaneous Approach"
03C,03CG3ZZ,6,"Extirpation of Matter from Intracranial Artery, Percutaneous Approach"
03C,03CK0ZZ,3,"Extirpation of Matter from Right Internal Carotid Artery, Open Approach"
03C,03CL0ZZ,3,"Extirpation of Matter from Left Internal Carotid Artery, Open Approach"
03C,03CC0ZZ,2,"Extirpation of Matter from Left Radial Artery, Open Approach"
03C,03CM0ZZ,2,"Extirpation of Matter from Right External Carotid Artery, Open Approach"
03C,03CN0ZZ,2,"Extirpation of Matter from Left External Carotid Artery, Open Approach"
03C,03C70ZZ,1,"Extirpation of Matter from Right Brachial Artery, Open Approach"
03C,03C73ZZ,1,"Extirpation of Matter from Right Brachial Artery, Percutaneous Approach"
03C,03C80ZZ,1,"Extirpation of Matter from Left Brachial Artery, Open Approach"
03C,03C93ZZ,1,"Extirpation of Matter from Right Ulnar Artery, Percutaneous Approach"
03C,03CA0ZZ,1,"Extirpation of Matter from Left Ulnar Artery, Open Approach"
03C,03CG3Z6,1,"Extirpation of Matter from Intracranial Artery, Bifurcation, Percutaneous Approach"
03C,03CH0ZZ,1,"Extirpation of Matter from Right Common Carotid Artery, Open Approach"
03C,03CJ0ZZ,1,"Extirpation of Matter from Left Common Carotid Artery, Open Approach"
03C,03CK3ZZ,1,"Extirpation of Matter from Right Internal Carotid Artery, Percutaneous Approach"
03H,03HY32Z,12,"Insertion of Monitoring Device into Upper Artery, Percutaneous Approach"
03H,03HB33Z,1,"Insertion of Infusion Device into Right Radial Artery, Percutaneous Approach"
03H,03HC33Z,1,"Insertion of Infusion Device into Left Radial Artery, Percutaneous Approach"
03J,03JY3ZZ,1,"Inspection of Upper Artery, Percutaneous Approach"
03L,03LG0CZ,12,"Occlusion of Intracranial Artery with Extraluminal Device, Open Approach"
03L,03LG3DZ,6,"Occlusion of Intracranial Artery with Intraluminal Device, Percutaneous Approach"
03L,03L70ZZ,1,"Occlusion of Right Brachial Artery, Open Approach"
03L,03LB0ZZ,1,"Occlusion of Right Radial Artery, Open Approach"
03L,03LK3DZ,1,"Occlusion of Right Internal Carotid Artery with Intraluminal Device, Percutaneous Approach"
03L,03LP3DZ,1,"Occlusion of Right Vertebral Artery with Intraluminal Device, Percutaneous Approach"
03Q,03QD0ZZ,2,"Repair Right Hand Artery, Open Approach"
03Q,03QC0ZZ,1,"Repair Left Radial Artery, Open Approach"
03S,03SS0ZZ,3,"Reposition Right Temporal Artery, Open Approach"
03S,03ST0ZZ,3,"Reposition Left Temporal Artery, Open Approach"
