block,frequency,n_hadm,icd_code,long_title
250,55764,67279,25041,"Diabetes with renal manifestations, type I [juvenile type], not stated as uncontrolled"
250,55764,67279,25042,"Diabetes with renal manifestations, type II or unspecified type, uncontrolled"
250,55764,67279,25043,"Diabetes with renal manifestations, type I [juvenile type], uncontrolled"
250,55764,67279,25050,"Diabetes with ophthalmic manifestations, type II or unspecified type, not stated as uncontrolled"
250,55764,67279,25051,"Diabetes with ophthalmic manifestations, type I [juvenile type], not stated as uncontrolled"
250,55764,67279,25052,"Diabetes with ophthalmic manifestations, type II or unspecified type, uncontrolled"
250,55764,67279,25053,"Diabetes with ophthalmic manifestations, type I [juvenile type], uncontrolled"
250,55764,67279,25060,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled"
250,55764,67279,25061,"Diabetes with neurological manifestations, type I [juvenile type], not stated as uncontrolled"
250,55764,67279,25062,"Diabetes with neurological manifestations, type II or unspecified type, uncontrolled"
250,55764,67279,25063,"Diabetes with neurological manifestations, type I [juvenile type], uncontrolled"
250,55764,67279,25070,"Diabetes with peripheral circulatory disorders, type II or unspecified type, not stated as uncontrolled"
250,55764,67279,25071,"Diabetes with peripheral circulatory disorders, type I [juvenile type], not stated as uncontrolled"
250,55764,67279,25072,"Diabetes with peripheral circulatory disorders, type II or unspecified type, uncontrolled"
250,55764,67279,25073,"Diabetes with peripheral circulatory disorders, type I [juvenile type], uncontrolled"
250,55764,67279,25080,"Diabetes with other specified manifestations, type II or unspecified type, not stated as uncontrolled"
250,55764,67279,25081,"Diabetes with other specified manifestations, type I [juvenile type], not stated as uncontrolled"
250,55764,67279,25082,"Diabetes with other specified manifestations, type II or unspecified type, uncontrolled"
250,55764,67279,25083,"Diabetes with other specified manifestations, type I [juvenile type], uncontrolled"
250,55764,67279,25090,"Diabetes with unspecified complication, type II or unspecified type, not stated as uncontrolled"
250,55764,67279,25091,"Diabetes with unspecified complication, type I [juvenile type], not stated as uncontrolled"
250,55764,67279,25092,"Diabetes with unspecified complication, type II or unspecified type, uncontrolled"
250,55764,67279,25093,"Diabetes with unspecified complication, type I [juvenile type], uncontrolled"
E87,52090,78000,E87,"Other disorders of fluid, electrolyte and acid-base balance"
E87,52090,78000,E870,Hyperosmolality and hypernatremia
E87,52090,78000,E8700,"Accidental cut, puncture, perforation or hemorrhage during surgical operation"
E87,52090,78000,E8701,"Accidental cut, puncture, perforation or hemorrhage during infusion or transfusion"
E87,52090,78000,E8702,"Accidental cut, puncture, perforation or hemorrhage during kidney dialysis or other perfusion"
E87,52090,78000,E8703,"Accidental cut, puncture, perforation or hemorrhage during injection or vaccination"
E87,52090,78000,E8704,"Accidental cut, puncture, perforation or hemorrhage during endoscopic examination"
E87,52090,78000,E8705,"Accidental cut, puncture, perforation or hemorrhage during aspiration of fluid or tissue, puncture, and catheterization"
E87,52090,78000,E8706,"Accidental cut, puncture, perforation or hemorrhage during heart catheterization"
E87,52090,78000,E8707,"Accidental cut, puncture, perforation or hemorrhage during administration of enema"
E87,52090,78000,E8708,"Accidental cut, puncture, perforation or hemorrhage during other specified medical care"
E87,52090,78000,E8709,"Accidental cut, puncture, perforation or hemorrhage during unspecified medical care"
E87,52090,78000,E871,Hypo-osmolality and hyponatremia
E87,52090,78000,E8710,Foreign object left in body during surgical operation
E87,52090,78000,E8711,Foreign object left in body during infusion or transfusion
E87,52090,78000,E8712,Foreign object left in body during kidney dialysis or other perfusion
E87,52090,78000,E8713,Foreign object left in body during injection or vaccination
E87,52090,78000,E8714,Foreign object left in body during endoscopic examination
E87,52090,78000,E8715,"Foreign object left in body during aspiration of fluid or tissue, puncture, and catheterization"
E87,52090,78000,E8716,Foreign object left in body during heart catheterization
E87,52090,78000,E8717,Foreign object left in body during removal of catheter or packing
E87,52090,78000,E8718,Foreign object left in body during other specified procedures
E87,52090,78000,E8719,Foreign object left in body during unspecified procedure
E87,52090,78000,E872,Acidosis
E87,52090,78000,E8720,Failure of sterile precautions during surgical operation
E87,52090,78000,E8720,"Acidosis, unspecified"
E87,52090,78000,E8721,Failure of sterile precautions during infusion or transfusion
E87,52090,78000,E8721,Acute metabolic acidosis
E87,52090,78000,E8722,Failure of sterile precautions during kidney dialysis and other perfusion
E87,52090,78000,E8722,Chronic metabolic acidosis
E87,52090,78000,E8723,Failure of sterile precautions during injection or vaccination
E87,52090,78000,E8724,Failure of sterile precautions during endoscopic examination
E87,52090,78000,E8725,"Failure of sterile precautions during aspiration of fluid or tissue, puncture, and catheterization"
E87,52090,78000,E8726,Failure of sterile precautions during heart catheterization
E87,52090,78000,E8728,Failure of sterile precautions during other specified procedures
E87,52090,78000,E8729,Failure of sterile precautions during unspecified procedure
E87,52090,78000,E8729,Other acidosis
E87,52090,78000,E873,Alkalosis
E87,52090,78000,E8730,Excessive amount of blood or other fluid during transfusion or infusion
E87,52090,78000,E8731,Incorrect dilution of fluid during infusion
E87,52090,78000,E8732,Overdose of radiation in therapy
E87,52090,78000,E8733,Inadvertent exposure of patient to radiation during medical care
E87,52090,78000,E8734,Failure in dosage in electroshock or insulin-shock therapy
E87,52090,78000,E8735,Inappropriate [too hot or too cold] temperature in local application and packing
E87,52090,78000,E8736,Nonadministration of necessary drug or medicinal substance
E87,52090,78000,E8738,Other specified failure in dosage
E87,52090,78000,E8739,Unspecified failure in dosage
E87,52090,78000,E874,Mixed disorder of acid-base balance
E87,52090,78000,E8740,Mechanical failure of instrument or apparatus during surgical operation
E87,52090,78000,E8741,Mechanical failure of instrument or apparatus during infusion and transfusion
E87,52090,78000,E8742,Mechanical failure of instrument or apparatus during kidney dialysis and other perfusion
E87,52090,78000,E8743,Mechanical failure of instrument or apparatus during endoscopic examination
E87,52090,78000,E8744,"Mechanical failure of instrument or apparatus during aspiration of fluid or tissue, puncture, and catheterization"
E87,52090,78000,E8745,Mechanical failure of instrument or apparatus during heart catheterization
E87,52090,78000,E8748,Mechanical failure of instrument or apparatus during other specified procedures
E87,52090,78000,E8749,Mechanical failure of instrument or apparatus during unspecified procedure
E87,52090,78000,E875,Hyperkalemia
E87,52090,78000,E8750,Contaminated substance transfused or infused
E87,52090,78000,E8751,Contaminated substance injected or used for vaccination
E87,52090,78000,E8752,Contaminated drug or biological substance administered by other means
E87,52090,78000,E8758,Misadventure to patient from other contamination
E87,52090,78000,E8759,Misadventure to patient from unspecified contamination
E87,52090,78000,E876,Hypokalemia
E87,52090,78000,E8760,Mismatched blood in transfusion
E87,52090,78000,E8761,Wrong fluid in infusion
E87,52090,78000,E8762,Failure in suture and ligature during surgical operation
E87,52090,78000,E8763,Endotracheal tube wrongly placed during anesthetic procedure
E87,52090,78000,E8764,Failure to introduce or to remove other tube or instrument
E87,52090,78000,E8765,Performance of wrong operation (procedure) on correct patient
E87,52090,78000,E8766,Performance of operation (procedure) on patient not scheduled for surgery
E87,52090,78000,E8767,Performance of correct operation (procedure) on wrong side/body part
E87,52090,78000,E8768,Other specified misadventures during medical care
E87,52090,78000,E8769,Unspecified misadventure during medical care
E87,52090,78000,E877,Fluid overload
E87,52090,78000,E8770,"Fluid overload, unspecified"
E87,52090,78000,E8771,Transfusion associated circulatory overload
E87,52090,78000,E8779,Other fluid overload
E87,52090,78000,E878,"Other disorders of electrolyte and fluid balance, not elsewhere classified"
E87,52090,78000,E8780,"Surgical operation with transplant of whole organ causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E87,52090,78000,E8781,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation"
E87,52090,78000,E8782,"Surgical operation with anastomosis, bypass, or graft, with natural or artificial tissues used as implant causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E87,52090,78000,E8783,"Surgical operation with formation of external stoma causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E87,52090,78000,E8784,"Other restorative surgery causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E87,52090,78000,E8785,"Amputation of limb(s) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E87,52090,78000,E8786,"Removal of other organ (partial) (total) causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E87,52090,78000,E8788,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E87,52090,78000,E8789,"Unspecified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation"
E87,52090,78000,E8790,"Cardiac catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E87,52090,78000,E8791,"Kidney dialysis as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E87,52090,78000,E8792,"Radiological procedure and radiotherapy as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E87,52090,78000,E8793,"Shock therapy as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E87,52090,78000,E8794,"Aspiration of fluid as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E87,52090,78000,E8795,"Insertion of gastric or duodenal sound as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure of time of procedure"
E87,52090,78000,E8796,"Urinary catheterization as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E87,52090,78000,E8797,"Blood sampling as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E87,52090,78000,E8798,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
E87,52090,78000,E8799,"Unspecified procedure as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure"
V58,51878,60044,V58,Occupant of pick-up truck or van injured in noncollision transport accident
V58,51878,60044,V580,Encounter for radiotherapy
V58,51878,60044,V580,Driver of pick-up truck or van injured in noncollision transport accident in nontraffic accident
V58,51878,60044,V580XXA,"Driver of pick-up truck or van injured in noncollision transport accident in nontraffic accident, initial encounter"
V58,51878,60044,V580XXD,"Driver of pick-up truck or van injured in noncollision transport accident in nontraffic accident, subsequent encounter"
V58,51878,60044,V580XXS,"Driver of pick-up truck or van injured in noncollision transport accident in nontraffic accident, sequela"
V58,51878,60044,V581,Encounter for antineoplastic chemotherapy and immunotherapy
V58,51878,60044,V581,Passenger in pick-up truck or van injured in noncollision transport accident in nontraffic accident
V58,51878,60044,V5811,Encounter for antineoplastic chemotherapy
V58,51878,60044,V5812,Encounter for antineoplastic immunotherapy
V58,51878,60044,V581XXA,"Passenger in pick-up truck or van injured in noncollision transport accident in nontraffic accident, initial encounter"
V58,51878,60044,V581XXD,"Passenger in pick-up truck or van injured in noncollision transport accident in nontraffic accident, subsequent encounter"
V58,51878,60044,V581XXS,"Passenger in pick-up truck or van injured in noncollision transport accident in nontraffic accident, sequela"
V58,51878,60044,V582,"Blood transfusion, without reported diagnosis"
V58,51878,60044,V582,Person on outside of pick-up truck or van injured in noncollision transport accident in nontraffic accident
V58,51878,60044,V582XXA,"Person on outside of pick-up truck or van injured in noncollision transport accident in nontraffic accident, initial encounter"
V58,51878,60044,V582XXD,"Person on outside of pick-up truck or van injured in noncollision transport accident in nontraffic accident, subsequent encounter"
V58,51878,60044,V582XXS,"Person on outside of pick-up truck or van injured in noncollision transport accident in nontraffic accident, sequela"
V58,51878,60044,V583,Unspecified occupant of pick-up truck or van injured in noncollision transport accident in nontraffic accident
V58,51878,60044,V5830,Encounter for change or removal of nonsurgical wound dressing
V58,51878,60044,V5831,Encounter for change or removal of surgical wound dressing
V58,51878,60044,V5832,Encounter for removal of sutures
V58,51878,60044,V583XXA,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in nontraffic accident, initial encounter"
V58,51878,60044,V583XXD,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in nontraffic accident, subsequent encounter"
V58,51878,60044,V583XXS,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in nontraffic accident, sequela"
V58,51878,60044,V584,Person boarding or alighting a pick-up truck or van injured in noncollision transport accident
V58,51878,60044,V5841,Encounter for planned post-operative wound closure
V58,51878,60044,V5842,Aftercare following surgery for neoplasm
V58,51878,60044,V5843,Aftercare following surgery for injury and trauma
V58,51878,60044,V5844,Aftercare following organ transplant
V58,51878,60044,V5849,Other specified aftercare following surgery
V58,51878,60044,V584XXA,"Person boarding or alighting a pick-up truck or van injured in noncollision transport accident, initial encounter"
V58,51878,60044,V584XXD,"Person boarding or alighting a pick-up truck or van injured in noncollision transport accident, subsequent encounter"
V58,51878,60044,V584XXS,"Person boarding or alighting a pick-up truck or van injured in noncollision transport accident, sequela"
V58,51878,60044,V585,Orthodontics aftercare
V58,51878,60044,V585,Driver of pick-up truck or van injured in noncollision transport accident in traffic accident
V58,51878,60044,V585XXA,"Driver of pick-up truck or van injured in noncollision transport accident in traffic accident, initial encounter"
V58,51878,60044,V585XXD,"Driver of pick-up truck or van injured in noncollision transport accident in traffic accident, subsequent encounter"
V58,51878,60044,V585XXS,"Driver of pick-up truck or van injured in noncollision transport accident in traffic accident, sequela"
V58,51878,60044,V586,Passenger in pick-up truck or van injured in noncollision transport accident in traffic accident
V58,51878,60044,V5861,Long-term (current) use of anticoagulants
V58,51878,60044,V5862,Long-term (current) use of antibiotics
V58,51878,60044,V5863,Long-term (current) use of antiplatelet/antithrombotic
V58,51878,60044,V5864,Long-term (current) use of non-steroidal anti-inflammatories (NSAID)
V58,51878,60044,V5865,Long-term (current) use of steroids
V58,51878,60044,V5866,Long-term (current) use of aspirin
V58,51878,60044,V5867,Long-term (current) use of insulin
V58,51878,60044,V5868,Long term (current) use of bisphosphonates
V58,51878,60044,V5869,Long-term (current) use of other medications
V58,51878,60044,V586XXA,"Passenger in pick-up truck or van injured in noncollision transport accident in traffic accident, initial encounter"
V58,51878,60044,V586XXD,"Passenger in pick-up truck or van injured in noncollision transport accident in traffic accident, subsequent encounter"
V58,51878,60044,V586XXS,"Passenger in pick-up truck or van injured in noncollision transport accident in traffic accident, sequela"
V58,51878,60044,V587,Person on outside of pick-up truck or van injured in noncollision transport accident in traffic accident
V58,51878,60044,V5871,"Aftercare following surgery of the sense organs, NEC"
V58,51878,60044,V5872,"Aftercare following surgery of the nervous system, NEC"
V58,51878,60044,V5873,"Aftercare following surgery of the circulatory system, NEC"
V58,51878,60044,V5874,"Aftercare following surgery of the respiratory system, NEC"
V58,51878,60044,V5875,"Aftercare following surgery of the teeth, oral cavity and digestive system, NEC"
V58,51878,60044,V5876,"Aftercare following surgery of the genitourinary system, NEC"
V58,51878,60044,V5877,"Aftercare following surgery of the skin and subcutaneous tissue, NEC"
V58,51878,60044,V5878,"Aftercare following surgery of the musculoskeletal system, NEC"
V58,51878,60044,V587XXA,"Person on outside of pick-up truck or van injured in noncollision transport accident in traffic accident, initial encounter"
V58,51878,60044,V587XXD,"Person on outside of pick-up truck or van injured in noncollision transport accident in traffic accident, subsequent encounter"
V58,51878,60044,V587XXS,"Person on outside of pick-up truck or van injured in noncollision transport accident in traffic accident, sequela"
V58,51878,60044,V5881,Fitting and adjustment of vascular catheter
V58,51878,60044,V5882,"Fitting and adjustment of nonvascular catheter, NEC"
V58,51878,60044,V5883,Encounter for therapeutic drug monitoring
V58,51878,60044,V5889,Other specified aftercare
V58,51878,60044,V589,Unspecified aftercare
V58,51878,60044,V589,Unspecified occupant of pick-up truck or van injured in noncollision transport accident in traffic accident
V58,51878,60044,V589XXA,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in traffic accident, initial encounter"
V58,51878,60044,V589XXD,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in traffic accident, subsequent encounter"
V58,51878,60044,V589XXS,"Unspecified occupant of pick-up truck or van injured in noncollision transport accident in traffic accident, sequela"
E78,49306,94922,E78,Disorders of lipoprotein metabolism and other lipidemias
E78,49306,94922,E780,Pure hypercholesterolemia
E78,49306,94922,E7800,"Pure hypercholesterolemia, unspecified"
E78,49306,94922,E7801,Familial hypercholesterolemia
E78,49306,94922,E781,Pure hyperglyceridemia
E78,49306,94922,E782,Mixed hyperlipidemia
E78,49306,94922,E783,Hyperchylomicronemia
E78,49306,94922,E784,Other hyperlipidemia
E78,49306,94922,E7841,Elevated Lipoprotein(a)
E78,49306,94922,E7849,Other hyperlipidemia
E78,49306,94922,E785,"Hyperlipidemia, unspecified"
E78,49306,94922,E786,Lipoprotein deficiency
E78,49306,94922,E787,Disorders of bile acid and cholesterol metabolism
E78,49306,94922,E7870,"Disorder of bile acid and cholesterol metabolism, unspecified"
E78,49306,94922,E7871,Barth syndrome
E78,49306,94922,E7872,Smith-Lemli-Opitz syndrome
E78,49306,94922,E7879,Other disorders of bile acid and cholesterol metabolism
E78,49306,94922,E788,Other disorders of lipoprotein metabolism
E78,49306,94922,E7881,Lipoid dermatoarthritis
E78,49306,94922,E7889,Other lipoprotein metabolism disorders
E78,49306,94922,E789,"Disorder of lipoprotein metabolism, unspecified"
V45,48167,55697,V45,Car occupant injured in collision with railway train or railway vehicle
V45,48167,55697,V450,Car driver injured in collision with railway train or railway vehicle in nontraffic accident
V45,48167,55697,V4500,Unspecified cardiac device in situ
V45,48167,55697,V4501,Cardiac pacemaker in situ
V45,48167,55697,V4502,Automatic implantable cardiac defibrillator in situ
V45,48167,55697,V4509,Other specified cardiac device in situ
V45,48167,55697,V450XXA,"Car driver injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V45,48167,55697,V450XXD,"Car driver injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
V45,48167,55697,V450XXS,"Car driver injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
V45,48167,55697,V451,Renal dialysis status
V45,48167,55697,V451,Car passenger injured in collision with railway train or railway vehicle in nontraffic accident
V45,48167,55697,V4511,Renal dialysis status
V45,48167,55697,V4512,Noncompliance with renal dialysis
V45,48167,55697,V451XXA,"Car passenger injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V45,48167,55697,V451XXD,"Car passenger injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
V45,48167,55697,V451XXS,"Car passenger injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
V45,48167,55697,V452,Presence of cerebrospinal fluid drainage device
V45,48167,55697,V452,Person on outside of car injured in collision with railway train or railway vehicle in nontraffic accident
V45,48167,55697,V452XXA,"Person on outside of car injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V45,48167,55697,V452XXD,"Person on outside of car injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
V45,48167,55697,V452XXS,"Person on outside of car injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
V45,48167,55697,V453,Intestinal bypass or anastomosis status
V45,48167,55697,V453,Unspecified car occupant injured in collision with railway train or railway vehicle in nontraffic accident
V45,48167,55697,V453XXA,"Unspecified car occupant injured in collision with railway train or railway vehicle in nontraffic accident, initial encounter"
V45,48167,55697,V453XXD,"Unspecified car occupant injured in collision with railway train or railway vehicle in nontraffic accident, subsequent encounter"
V45,48167,55697,V453XXS,"Unspecified car occupant injured in collision with railway train or railway vehicle in nontraffic accident, sequela"
V45,48167,55697,V454,Arthrodesis status
V45,48167,55697,V454,Person boarding or alighting a car injured in collision with railway train or railway vehicle
V45,48167,55697,V454XXA,"Person boarding or alighting a car injured in collision with railway train or railway vehicle, initial encounter"
V45,48167,55697,V454XXD,"Person boarding or alighting a car injured in collision with railway train or railway vehicle, subsequent encounter"
V45,48167,55697,V454XXS,"Person boarding or alighting a car injured in collision with railway train or railway vehicle, sequela"
V45,48167,55697,V455,Car driver injured in collision with railway train or railway vehicle in traffic accident
V45,48167,55697,V4551,Presence of intrauterine contraceptive device
V45,48167,55697,V4552,Presence of subdermal contraceptive implant
V45,48167,55697,V4559,Presence of other contraceptive device
V45,48167,55697,V455XXA,"Car driver injured in collision with railway train or railway vehicle in traffic accident, initial encounter"
V45,48167,55697,V455XXD,"Car driver injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter"
V45,48167,55697,V455XXS,"Car driver injured in collision with railway train or railway vehicle in traffic accident, sequela"
V45,48167,55697,V456,Car passenger injured in collision with railway train or railway vehicle in traffic accident
V45,48167,55697,V4561,Cataract extraction status
V45,48167,55697,V4569,Other states following surgery of eye and adnexa
V45,48167,55697,V456XXA,"Car passenger injured in collision with railway train or railway vehicle in traffic accident, initial encounter"
V45,48167,55697,V456XXD,"Car passenger injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter"
V45,48167,55697,V456XXS,"Car passenger injured in collision with railway train or railway vehicle in traffic accident, sequela"
V45,48167,55697,V457,Person on outside of car injured in collision with railway train or railway vehicle in traffic accident
V45,48167,55697,V4571,Acquired absence of breast and nipple
V45,48167,55697,V4572,Acquired absence of intestine (large) (small)
V45,48167,55697,V4573,Acquired absence of kidney
V45,48167,55697,V4574,"Acquired absence of organ, other parts of urinary tract"
V45,48167,55697,V4575,"Acquired absence of organ, stomach"
V45,48167,55697,V4576,"Acquired absence of organ, lung"
V45,48167,55697,V4577,"Acquired absence of organ, genital organs"
V45,48167,55697,V4578,"Acquired absence of organ, eye"
V45,48167,55697,V4579,Other acquired absence of organ
V45,48167,55697,V457XXA,"Person on outside of car injured in collision with railway train or railway vehicle in traffic accident, initial encounter"
V45,48167,55697,V457XXD,"Person on outside of car injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter"
V45,48167,55697,V457XXS,"Person on outside of car injured in collision with railway train or railway vehicle in traffic accident, sequela"
V45,48167,55697,V4581,Aortocoronary bypass status
V45,48167,55697,V4582,Percutaneous transluminal coronary angioplasty status
V45,48167,55697,V4583,Breast implant removal status
V45,48167,55697,V4584,Dental restoration status
V45,48167,55697,V4585,Insulin pump status
V45,48167,55697,V4586,Bariatric surgery status
V45,48167,55697,V4587,Transplanted organ removal status
V45,48167,55697,V4588,Status post administration of tPA (rtPA) in a different facility within the last 24 hours prior to admission to current facility
V45,48167,55697,V4589,Other postprocedural status
V45,48167,55697,V459,Unspecified car occupant injured in collision with railway train or railway vehicle in traffic accident
V45,48167,55697,V459XXA,"Unspecified car occupant injured in collision with railway train or railway vehicle in traffic accident, initial encounter"
V45,48167,55697,V459XXD,"Unspecified car occupant injured in collision with railway train or railway vehicle in traffic accident, subsequent encounter"
V45,48167,55697,V459XXS,"Unspecified car occupant injured in collision with railway train or railway vehicle in traffic accident, sequela"
530,45366,52431,5300,Achalasia and cardiospasm
530,45366,52431,53010,"Esophagitis, unspecified"
530,45366,52431,53011,Reflux esophagitis
530,45366,52431,53012,Acute esophagitis
530,45366,52431,53013,Eosinophilic esophagitis
530,45366,52431,53019,Other esophagitis
530,45366,52431,53020,Ulcer of esophagus without bleeding
530,45366,52431,53021,Ulcer of esophagus with bleeding
530,45366,52431,5303,Stricture and stenosis of esophagus
530,45366,52431,5304,Perforation of esophagus
530,45366,52431,5305,Dyskinesia of esophagus
530,45366,52431,5306,"Diverticulum of esophagus, acquired"
530,45366,52431,5307,Gastroesophageal laceration-hemorrhage syndrome
530,45366,52431,53081,Esophageal reflux
530,45366,52431,53082,Esophageal hemorrhage
530,45366,52431,53083,Esophageal leukoplakia
530,45366,52431,53084,Tracheoesophageal fistula
530,45366,52431,53085,Barrett's esophagus
530,45366,52431,53086,Infection of esophagostomy
530,45366,52431,53087,Mechanical complication of esophagostomy
530,45366,52431,53089,Other specified disorders of esophagus
530,45366,52431,5309,Unspecified disorder of esophagus
276,44332,49082,2760,Hyperosmolality and/or hypernatremia
276,44332,49082,2761,Hyposmolality and/or hyponatremia
276,44332,49082,2762,Acidosis
276,44332,49082,2763,Alkalosis
276,44332,49082,2764,Mixed acid-base balance disorder
276,44332,49082,27650,"Volume depletion, unspecified"
276,44332,49082,27651,Dehydration
276,44332,49082,27652,Hypovolemia
276,44332,49082,2766,Fluid overload disorder
276,44332,49082,27661,Transfusion associated circulatory overload
276,44332,49082,27669,Other fluid overload
276,44332,49082,2767,Hyperpotassemia
276,44332,49082,2768,Hypopotassemia
276,44332,49082,2769,Electrolyte and fluid disorders not elsewhere classified
I10,43570,83773,I10,Essential (primary) hypertension
285,42604,46923,2850,Sideroblastic anemia
285,42604,46923,2851,Acute posthemorrhagic anemia
285,42604,46923,28521,Anemia in chronic kidney disease
285,42604,46923,28522,Anemia in neoplastic disease
285,42604,46923,28529,Anemia of other chronic disease
285,42604,46923,2853,Antineoplastic chemotherapy induced anemia
285,42604,46923,2858,Other specified anemias
285,42604,46923,2859,"Anemia, unspecified"
427,42090,48784,4270,Paroxysmal supraventricular tachycardia
427,42090,48784,4271,Paroxysmal ventricular tachycardia
427,42090,48784,4272,"Paroxysmal tachycardia, unspecified"
427,42090,48784,42731,Atrial fibrillation
427,42090,48784,42732,Atrial flutter
427,42090,48784,42741,Ventricular fibrillation
427,42090,48784,42742,Ventricular flutter
427,42090,48784,4275,Cardiac arrest
427,42090,48784,42760,"Premature beats, unspecified"
427,42090,48784,42761,Supraventricular premature beats
427,42090,48784,42769,Other premature beats
427,42090,48784,42781,Sinoatrial node dysfunction
427,42090,48784,42789,Other specified cardiac dysrhythmias
427,42090,48784,4279,"Cardiac dysrhythmia, unspecified"
V15,41713,47385,V15,Pedal cycle rider injured in collision with railway train or railway vehicle
V15,41713,47385,V150,Pedal cycle driver injured in collision with railway train or railway vehicle in nontraffic accident
V15,41713,47385,V1501,Allergy to peanuts
V15,41713,47385,V1502,Allergy to milk products
V15,41713,47385,V1503,Allergy to eggs
V15,41713,47385,V1504,Allergy to seafood
V15,41713,47385,V1505,Allergy to other foods
V15,41713,47385,V1506,Allergy to insects and arachnids
V15,41713,47385,V1507,Allergy to latex
V15,41713,47385,V1508,Allergy to radiographic dye
